clusterId	resolvedType	synthetic	subClonal	subType	clusterCount	clusterDesc
0	SIMPLE	false	false	DEL	1	DEL
1	COMPLEX	false	false	COMPLEX	4	BND=4
2	RECIPROCAL	false	true	RECIP_INV	2	INV=2
3	SIMPLE	false	false	DEL	1	DEL
4	SIMPLE	false	false	DEL	1	DEL
5	SIMPLE	false	false	DEL	1	DEL
6	SIMPLE	false	false	DEL	1	DEL
7	SIMPLE	false	false	DEL	1	DEL
8	SIMPLE	false	false	DUP	1	DUP
9	SIMPLE	false	false	DEL	1	DEL
10	SIMPLE	false	false	DEL	1	DEL
11	SIMPLE	false	false	DEL	1	DEL
12	SIMPLE	false	false	DEL	1	DEL
13	RECIPROCAL	false	false	RECIP_INV	2	INV=2
14	RECIPROCAL	false	false	RECIP_INV	2	INV=2
15	SIMPLE	false	false	DEL	1	DEL
