	MutationType	DBS_COL_A	DBS_COL_B	DBS_COL_C	DBS_COL_D	DBS_COL_E	DBS_COL_F
1	AC_CA	8.21361125121945e-06	1.45540422149971e-19	0.395052669076207	1.44720914175923e-05	3.39753158869846e-06	2.12121270052685e-05
2	AC_CG	4.93921256131292e-05	2.25590503375769e-06	5.7320877166752e-06	4.81819492834188e-05	3.85281025297808e-05	5.07497054069553e-05
3	AC_CT	1.05048120766732e-06	2.18972379146491e-06	0.525979934000675	1.02699203611316e-06	1.03208016912606e-16	8.49432351376591e-06
4	AC_GA	0.049084877742385	1.45540422149971e-19	1.92595078541706e-07	3.25909209481131e-05	1.54112870920164e-05	4.07418639097758e-05
5	AC_GG	2.54248597441914e-05	1.45540422149971e-19	2.26613811114393e-06	8.27149355546322e-05	1.27657267127545e-05	0.00754540927561383
6	AC_GT	4.63362674891948e-05	1.45540422149971e-19	0.00265105341118289	0.0121608399636221	1.55608797732274e-05	0.000107287278511728
7	AC_TA	2.62000673618773e-05	1.45540422149971e-19	8.37850141315389e-05	4.63904983002222e-05	0.0382470859904722	5.22012828525609e-05
8	AC_TG	0.0274726842927018	1.45540422149971e-19	0.00451465549708412	7.78658419682237e-06	0.000249953237396072	3.13964231293156e-05
9	AC_TT	0.0511578646174024	5.41100822778825e-06	1.57110297980433e-19	5.12454613360685e-05	4.01891364881803e-05	3.73078400965918e-05
10	AT_CA	6.0838905387803e-05	1.45540422149971e-19	1.57110297980433e-19	0.0303741950522569	1.77552325283794e-05	5.47538361056347e-05
11	AT_CC	3.18845932150191e-05	0.00149768758120955	4.00902879291051e-06	7.789465688223e-05	7.97013095401125e-05	2.61104369886718e-05
12	AT_CG	0.00224190474051627	1.45540422149971e-19	3.05165757748086e-06	2.9622016434258e-05	2.53124688912686e-05	3.374790091105e-05
13	AT_GA	2.83697369214746e-05	1.45540422149971e-19	1.35041167804578e-05	1.21688790966953e-05	5.51816383412928e-05	0.0225145749953717
14	AT_GC	6.69217374123774e-05	2.82293312042556e-05	1.17531935700418e-06	2.61772207733471e-05	0.00694581677253039	8.07726108009497e-05
15	AT_TA	0.0145940984234162	1.45540422149971e-19	7.7648612711282e-07	1.17524849225271e-05	2.34814359637237e-05	0.024725465489805
16	CC_AA	1.66366436191364e-19	0.079060614501698	1.57110297980433e-19	1.53735593247155e-19	0.636645107045885	1.52211321022519e-19
17	CC_AG	0.143112384727674	0.0317974481806108	2.61610197832247e-06	1.53735593247155e-19	1.06079722904452e-14	1.39349798940145e-05
18	CC_AT	0.222137828889777	0.0511570888225302	0.00927443835011263	1.53735593247155e-19	1.38193908046545e-19	1.52211321022519e-19
19	CC_GA	3.65832049565542e-12	0.0031343958880103	1.11642578911566e-05	0.000154040126715831	0.000160923801116836	0.0408618947951916
20	CC_GG	2.73876784758847e-05	0.00278914083584786	0.000407016452974324	7.19218570480649e-06	0.026130913669288	7.77561579739492e-05
21	CC_GT	2.43759953546675e-05	0.0419104710145372	0.00914206379291529	5.43492762212267e-06	0.000691714669219898	0.000100320608346003
22	CC_TA	6.0015098703888e-05	0.0266516015409225	0.00306855713233088	1.53735593247155e-19	1.16799544478539e-05	0.0489467207783419
23	CC_TG	0.000100540086891125	0.016720518336656	1.66465578585087e-05	6.19145712862816e-05	2.38220571077753e-05	4.20290787104915e-05
24	CC_TT	9.30989487184913e-06	1.45540422149971e-19	5.86933374892749e-05	3.61779868653574e-05	0.126878516749635	0.00013538970212852
25	CG_AT	4.96161104348599e-05	1.45540422149971e-19	0.00216169495041179	0.00724811561874755	1.77237960660403e-05	5.7064045771954e-05
26	CG_GC	5.1327888808054e-05	1.45540422149971e-19	1.20470459138336e-06	0.00357746781764195	0.00184279398966118	2.34389172950026e-05
27	CG_GT	2.35617183780914e-05	0.000978165052341283	1.60042836206934e-06	2.82382896579724e-05	0.00417289434399511	6.2654233707914e-05
28	CG_TA	3.2582583822982e-05	1.45540422149971e-19	0.00429441201783309	6.33547122579637e-05	0.000133577227423768	7.50141371033973e-05
29	CG_TC	0.00272202233976486	1.45540422149971e-19	9.79714852998478e-07	3.88843252431098e-05	3.00825505234411e-05	0.00333737841950124
30	CG_TT	0.0125278482588902	1.45540422149971e-19	1.57110297980433e-19	0.0144686412968284	2.8179047668478e-05	0.000165236236963067
31	CT_AA	1.26375507695997e-05	0.170640137939501	1.43403099712952e-12	5.89360721195512e-05	2.64728433429327e-05	2.7177779104898e-05
32	CT_AC	6.21451898307026e-16	0.223994781845688	1.04988820285861e-06	2.85313354579163e-05	2.59529108699119e-05	1.31433984929876e-05
33	CT_AG	0.000332297146808328	0.0363514544418853	8.35830109178426e-07	6.20672846968287e-05	2.84511544239858e-05	5.45750051774872e-05
34	CT_GA	0.0149404607104348	1.45540422149971e-19	1.7725845836004e-06	2.72003169415064e-05	4.48009250688882e-06	0.000126380171045508
35	CT_GC	0.00637347889393804	1.45540422149971e-19	6.37634817176461e-07	2.47618071523533e-05	0.000120970879207513	4.91519010068577e-05
36	CT_GG	3.25127598347714e-05	1.45540422149971e-19	0.000119281952183828	0.000104554283921103	0.0329436914274509	5.0154795097797e-05
37	CT_TA	0.000181268086266078	0.0252581094486279	1.57110297980433e-19	3.12391763160796e-05	0.0424236620767763	2.92347835443281e-05
38	CT_TC	0.0114558323915594	0.0055278818799133	0.00139204338876689	8.7898504195713e-06	2.38040939631509e-05	0.0120509914815848
39	CT_TG	0.0329707378406386	0.00240410855548592	7.4353649088427e-06	1.53735593247155e-19	4.1402429639597e-05	2.25139964241459e-05
40	GC_AA	1.66366436191364e-19	0.00776150203825117	0.000106791955775101	0.383271282767967	1.38193908046545e-19	1.52211321022519e-19
41	GC_AG	1.91763097495076e-05	1.45540422149971e-19	0.00135544757488959	0.0721087263134389	4.42155801073752e-05	2.92090976922821e-05
42	GC_AT	5.65561990553478e-06	1.45540422149971e-19	1.39630158081308e-05	1.66537336974282e-05	1.38193908046545e-19	0.153426345473944
43	GC_CA	9.25516131149796e-05	0.0024685473902301	1.57110297980433e-19	0.0417588180789018	7.78790208590266e-07	3.42073489296327e-05
44	GC_CG	4.88621683826364e-05	1.45540422149971e-19	2.23698593319717e-06	0.0036642790875804	1.89716776471114e-05	2.54201263119412e-05
45	GC_TA	0.000121206609394536	1.45540422149971e-19	0.0026897460820631	3.39405172786008e-07	3.30007384684515e-05	0.0295600225501903
46	TA_AT	0.0925994680911376	0.00546876035842852	2.02609644679327e-06	1.53735593247155e-19	1.38193908046545e-19	3.60547620834926e-05
47	TA_CG	2.23320338909786e-05	5.25733233711022e-05	2.29619990949723e-06	3.8589286670578e-05	2.39320393746823e-05	0.00751783438951866
48	TA_CT	1.51199757332424e-05	1.45540422149971e-19	1.77574818724953e-06	3.73062806808482e-05	1.38193908046545e-19	0.0805114251819107
49	TA_GC	5.1219348767508e-05	1.45540422149971e-19	1.78084881419641e-07	0.00383306056639826	2.63460974239193e-05	0.00357844070040193
50	TA_GG	0.00238597089269203	0.00143510561608401	2.92125167754868e-06	3.09761842258457e-05	1.57812647708326e-05	2.41929709466498e-05
51	TA_GT	2.12179474137217e-05	0.00519091858671693	1.57110297980433e-19	0.0115064899437742	2.96771575675951e-05	0.00787822156826809
52	TC_AA	0.000124981438620032	0.0390977249038781	1.57110297980433e-19	0.351918158377262	1.38193908046545e-19	1.52211321022519e-19
53	TC_AG	7.5711773031734e-05	0.000393364255021799	1.57110297980433e-19	1.53735593247155e-19	0.000140640284018521	0.029398978109978
54	TC_AT	2.62733068705624e-06	0.0131605707740885	2.47525520338381e-07	7.26736619839797e-05	2.13751833415465e-05	0.148423184103436
55	TC_CA	1.94302615232797e-05	1.09294678888261e-05	4.39974415248393e-05	2.34103626752451e-06	2.8727352171184e-05	0.0935481836752348
56	TC_CG	0.00638164895306856	1.45540422149971e-19	1.07462504146674e-06	2.96354492455289e-05	0.000137136138684397	1.91228738666136e-05
57	TC_CT	1.49550653556291e-05	0.00331178194337257	0.00323233726134999	1.53735593247155e-19	6.98407134247588e-05	0.0680822539761958
58	TC_GA	0.0394854783298347	0.00228309182761876	8.67334711660426e-05	1.43427012434802e-05	2.29386155632227e-06	1.92715329763331e-05
