	MutationType	indel_LIV_A	indel_LIV_B
1	C_deletion_1	0.0442789351848982	0.0642212176889603
2	C_deletion_2	0.00846939990296303	0.0512396345464608
3	C_deletion_3	0.00922571238079188	0.0310815258841397
4	C_deletion_4	2.89934783973752e-19	0.0159957274580881
5	C_deletion_5	7.35960849882694e-08	0.00757769811246991
6	C_deletion_6+	1.55021826682494e-07	0.00589407147289787
7	T_deletion_1	0.0206200869846273	0.0670982832286328
8	T_deletion_2	0.0262587152801954	0.0499095685531845
9	T_deletion_3	0.0421207551276353	0.0385167912889745
10	T_deletion_4	2.87815718875288e-06	0.0345144454305733
11	T_deletion_5	0.0204280755019424	0.0259098384459668
12	T_deletion_6+	0.0580275715768609	0.0428236839114951
13	C_insertion_0	0.0527011381745727	0.00211154613371987
14	C_insertion_1	0.0283538667493046	0.0023969642596923
15	C_insertion_2	0.00954713391331851	0.00600802560388409
16	C_insertion_3	0.0207319537017735	1.56163862953641e-13
17	C_insertion_4	0.00811409811467635	4.25842812408894e-07
18	C_insertion_5+	0.0192649760859437	0.00438517665222166
19	T_insertion_0	0.0420723644778152	0.00626283406483307
20	T_insertion_1	0.0154848828200431	0.0243624007944403
21	T_insertion_2	0.0230349221278337	0.00994573156111531
22	T_insertion_3	0.00561827714975187	0.0125627600327172
23	T_insertion_4	0.00434039599273852	0.00398144775398346
24	T_insertion_5+	0.0823659308398156	0.0590964534161467
25	2bp_deletion_1	0.013887725113232	0.0200895050508977
26	2bp_deletion_2	0.00408098485295089	0.020898233607486
27	2bp_deletion_3	0.00880567302572914	0.00567769427189292
28	2bp_deletion_4	0.00757014086943158	0.000730998547129272
29	2bp_deletion_5	0.00238125922307597	0.000663062279331033
30	2bp_deletion_6+	0.033874176952224	0.00151990278705282
31	3bp_deletion_1	0.00427159773714934	0.00933427357811691
32	3bp_deletion_2	0.0175043371085874	0.0155961959527821
33	3bp_deletion_3	0.00506068681344016	0.0026347695357035
34	3bp_deletion_4	0.00137236114863565	0.0020996043017296
35	3bp_deletion_5	0.00275258431129234	0.000547442576224001
36	3bp_deletion_6+	2.80009757972105e-07	0.000282028268692521
37	4bp_deletion_1	0.00311538124240428	0.00632708279120103
38	4bp_deletion_2	0.00932110426273957	0.0234756178728423
39	4bp_deletion_3	1.63841707122392e-07	0.00701646958397517
40	4bp_deletion_4	0.00378925437128446	0.00303065617559849
41	4bp_deletion_5	0.00137386874241371	0.00209913488140074
42	4bp_deletion_6+	0.00228741166724995	0.00153408428895803
43	5+bp_deletion_1	0.0211450466675056	0.0545884168041248
44	5+bp_deletion_2	0.00488034245585674	0.00577752581815887
45	5+bp_deletion_3	3.47068411554721e-07	0.00168500846026215
46	5+bp_deletion_4	0.000727461282944146	0.000897406066643221
47	5+bp_deletion_5	1.08699046601484e-06	1.17678432011241e-06
48	5+bp_deletion_6+	1.08699046601484e-06	1.17678432011241e-06
49	2bp_insertion_0	0.0695115154719223	0.0092236988606648
50	2bp_insertion_1	0.0133190731843029	0.00567535537893076
51	2bp_insertion_2	0.00575322299470131	0.00354153500988858
52	2bp_insertion_3	0.00257813937701021	0.00172416045157866
53	2bp_insertion_4	0.00173078571865289	0.00226860165461565
54	2bp_insertion_5+	0.00880077490031778	0.00483741876098113
55	3bp_insertion_0	0.0293621879400972	0.00236360293354259
56	3bp_insertion_1	0.00727310963393799	0.00391008768887316
57	3bp_insertion_2	0.00121439529885202	0.000745789146218018
58	3bp_insertion_3	2.55743071002423e-07	0.000282035824624592
59	3bp_insertion_4	1.08699046601484e-06	1.17678432011241e-06
60	3bp_insertion_5+	2.04899234647869e-07	0.000562651870230844
61	4bp_insertion_0	0.0200760433793273	0.00469383459820239
62	4bp_insertion_1	0.00811546575458231	2.04188587204372e-19
63	4bp_insertion_2	2.10079973601909e-07	0.000282050042769102
64	4bp_insertion_3	0.00180692001660467	9.39604685284954e-08
65	4bp_insertion_4	4.9336357133005e-07	0.00112376247959113
66	4bp_insertion_5+	1.08699046601484e-06	1.17678432011241e-06
67	5+bp_insertion_0	0.0402946085319782	0.0194433845858925
68	5+bp_insertion_1	0.000615125196034968	0.0163653960059391
69	5+bp_insertion_2	0.0018066864531551	1.66685252155812e-07
70	5+bp_insertion_3	1.98884809385846e-07	0.000282053528613727
71	5+bp_insertion_4	1.08699046601484e-06	1.17678432011241e-06
72	5+bp_insertion_5+	1.08699046601484e-06	1.17678432011241e-06
73	2bp_deletion_with_microhomology_1	0.0202293621415886	0.0172731052932735
74	3bp_deletion_with_microhomology_1	8.84854561871578e-08	0.00645529261902948
75	3bp_deletion_with_microhomology_2	0.00325986153941059	0.0135777014518962
76	4bp_deletion_with_microhomology_1	0.0130368718223052	0.00632442500557271
77	4bp_deletion_with_microhomology_2	0.00970689089576693	0.0132538875543775
78	4bp_deletion_with_microhomology_3	0.0032612498730589	0.0183474728093075
79	5+bp_deletion_with_microhomology_1	0.0238426268843978	0.0374736572923062
80	5+bp_deletion_with_microhomology_2	0.0126472841894896	0.030296749345769
81	5+bp_deletion_with_microhomology_3	0.0118306392135867	0.0123120146230311
82	5+bp_deletion_with_microhomology_4	2.18852049195816e-07	0.00813885331270226
83	5+bp_deletion_with_microhomology_5+	0.000654479707331276	0.00681273488216692
