"DEL_1e02_1e03_bp"	"DEL_1e03_1e04_bp"	"DEL_1e04_1e05_bp"	"DEL_1e05_1e06_bp"	"DEL_1e06_1e07_bp"	"DEL_1e07_Inf_bp"	"DUP_1e02_1e03_bp"	"DUP_1e03_1e04_bp"	"DUP_1e04_1e05_bp"	"DUP_1e05_1e06_bp"	"DUP_1e06_1e07_bp"	"DUP_1e07_Inf_bp"	"INV_1e02_1e03_bp"	"INV_1e03_1e04_bp"	"INV_1e04_1e05_bp"	"INV_1e05_1e06_bp"	"INV_1e06_1e07_bp"	"INV_1e07_Inf_bp"	"TRA"
"5FU.PATIENT1.N.CLONE1"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
"5FU.PATIENT1.N.CLONE2"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT10.LIVN.CLONE1"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT10.LIVN.CLONE4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT11.LIVN.CLONE4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT12.COLN.CLONE4"	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT13.COLN.CLONE1"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT13.COLN.CLONE2"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT14.LIVN.CLONE1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT2.N.CLONE1"	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
"5FU.PATIENT2.N.CLONE2"	2	7	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"5FU.PATIENT2.N.CLONE3"	7	6	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2
"5FU.PATIENT2.N.CLONE6"	9	7	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
"5FU.PATIENT2.T.CLONE1"	24	21	47	31	1	1	5	7	12	3	0	1	0	1	0	0	0	0	4
"5FU.PATIENT3.N.CLONE2"	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT3.N.CLONE4"	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"5FU.PATIENT4.N.CLONE1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"5FU.PATIENT4.N.CLONE2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT5.N.CLONE2"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"5FU.PATIENT5.N.CLONE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT6.LivN.CLONE2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT6.LivN.CLONE5"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT7.LivN.CLONE1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT7.LivN.CLONE4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT8.LivN.CLONE13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT8.LivN.CLONE15"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"5FU.PATIENT9.LivN.CLONE3"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c080216DCLONE2"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"c080216DCLONE3"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c110116DCLONE2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"c150216DCLONE2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c180516DCLONE6"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C30913DClone10"	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"C30913DClone12"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C30913DClone13"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"EGAF00000827138"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000827139"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000827140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"EGAF00000827141"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000827249"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000860183"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000860184"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
