"DEL_100bp"	"DEL_1Kbp"	"DEL_10Kbp"	"DEL_100Kbp"	"DEL_1Mbp"	"DEL_10Mbp"	"DEL_100Mbp"	"DUP_100bp"	"DUP_1Kbp"	"DUP_10Kbp"	"DUP_100Kbp"	"DUP_1Mbp"	"DUP_10Mbp"	"DUP_100Mbp"
"5FU.PATIENT1.N.CLONE1"	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"5FU.PATIENT1.N.CLONE2"	1	0	1	1	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT10.LIVN.CLONE1"	4	0	0	0	0	0	0	0	1	0	0	0	0	0
"5FU.PATIENT10.LIVN.CLONE4"	2	0	0	0	0	0	0	1	0	0	0	0	0	0
"5FU.PATIENT11.LIVN.CLONE4"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT12.COLN.CLONE4"	1	0	0	1	1	0	0	1	1	0	1	0	0	0
"5FU.PATIENT13.COLN.CLONE1"	3	0	0	1	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT13.COLN.CLONE2"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT14.LIVN.CLONE1"	1	0	0	0	0	0	0	2	0	0	0	0	0	0
"5FU.PATIENT2.N.CLONE1"	8	2	6	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT2.N.CLONE2"	6	2	7	1	0	1	0	0	0	1	0	0	0	0
"5FU.PATIENT2.N.CLONE3"	3	7	6	0	0	1	0	2	0	1	0	0	1	0
"5FU.PATIENT2.N.CLONE6"	11	9	7	1	0	0	0	1	0	0	0	0	0	0
"5FU.PATIENT2.T.CLONE1"	31	24	21	47	30	1	1	32	5	7	12	3	0	1
"5FU.PATIENT3.N.CLONE2"	3	0	3	0	2	0	0	0	0	0	0	0	0	0
"5FU.PATIENT3.N.CLONE4"	2	4	5	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT4.N.CLONE1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT4.N.CLONE2"	1	0	0	0	0	0	0	1	0	0	0	0	0	0
"5FU.PATIENT5.N.CLONE2"	1	0	0	0	0	0	0	0	0	0	0	1	0	0
"5FU.PATIENT5.N.CLONE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT6.LivN.CLONE2"	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT6.LivN.CLONE5"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT7.LivN.CLONE1"	2	1	0	0	0	0	0	1	0	0	0	0	0	0
"5FU.PATIENT7.LivN.CLONE4"	4	0	0	0	0	0	0	1	0	0	0	0	0	0
"5FU.PATIENT8.LivN.CLONE13"	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT8.LivN.CLONE15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5FU.PATIENT9.LivN.CLONE3"	3	0	0	1	1	0	0	3	0	0	0	0	0	0
"c080216DCLONE2"	4	0	0	0	0	0	0	1	1	0	0	0	0	0
"c080216DCLONE3"	2	0	1	0	0	0	0	0	0	0	0	0	0	0
"c110116DCLONE2"	1	0	0	0	0	0	0	2	0	0	0	0	0	0
"c150216DCLONE2"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"c180516DCLONE6"	3	1	0	0	0	0	0	0	0	0	0	0	0	0
"C30913DClone10"	1	0	1	0	0	0	0	0	0	0	0	0	2	0
"C30913DClone12"	1	1	0	0	0	0	0	1	0	0	0	0	0	0
"C30913DClone13"	1	0	0	0	0	0	0	0	0	0	1	1	0	0
"EGAF00000827138"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"EGAF00000827139"	2	0	0	0	0	0	0	2	1	0	0	0	0	0
"EGAF00000827140"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000827141"	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"EGAF00000827249"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"EGAF00000860183"	0	0	0	0	0	0	0	2	1	0	0	0	0	0
"EGAF00000860184"	1	1	0	0	0	0	0	1	0	0	0	0	0	0
"EGAF00000860185"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00000860186"	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"EGAF00000860187"	1	1	0	0	0	0	0	2	0	0	0	0	0	0
"EGAF00001014392"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EGAF00001014393"	0	1	1	0	0	0	0	1	0	0	0	0	0	0
"EGAF00001014394"	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"EGAF00001014395"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Healthy14CLONE10"	1	0	1	0	0	0	0	0	0	0	0	0	2	0
"Healthy14CLONE12"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Healthy14CLONE13"	1	0	0	0	0	0	0	0	0	0	0	1	0	0
"Healthy15CLONE1"	1	0	0	0	0	0	0	1	0	0	0	0	0	0
"Healthy15CLONE2"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Healthy16CLONE1"	4	0	0	0	0	0	1	2	0	0	0	0	0	0
"Healthy17CLONE10"	6	1	0	0	0	0	0	2	0	0	0	0	0	0
"Healthy17CLONE3"	4	0	0	0	0	0	0	1	0	0	0	0	0	0
"Healthy17CLONE4"	2	0	0	0	0	0	0	3	0	0	0	0	0	0
"LiverC150216DHealthyPO"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"LiverC150216DHealthyPOA"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ste01166a"	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"ste01167f"	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"ste01205a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ste01205f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"STE1207A"	0	0	0	0	1	0	0	0	0	0	0	0	0	1
