svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
0	1		false	false	false	None	None	0.3927	1.1366			0.1377	0.1374	0	0	DSB	DSB	0	0
2	6		false	false	false	None	None	0.0709	2.0658			0.6012	0.6010	0	0	SIMPLE_DUP	SIMPLE_DUP	0	0
3	7		false	false	false	None	None	0.2502	0.8318			0.0939	0.0000	0	-1	ISOLATED_BE		0	0
4	2	Prox_11	false	false	false	None	None	81.2534	162.4800	PMF1-BGLAP;PMF1	PMF1-BGLAP;PMF1	0.7702	0.3765	0	1	TI_ONLY	DSB	1	0
5	2	Prox_4	false	false	false	None	None	36.0802	139.8798			0.3765	0.0000	1	-1	DSB		0	0
8	3	Prox_9	false	false	false	None	None	-0.0456	0.2521			0.0810	0.3100	0	2	ISOLATED_BE	DSB	0	0
9	3	Prox_8	false	false	false	None	None	-0.0222	0.2666			0.3699	0.3083	1	2	ISOLATED_BE	DSB	0	0
10	5		false	false	false	None	None	-0.6067	0.6631	MYO1D	MYO1D	0.2776	0.2770	0	0	DSB	DSB	0	0
11	2	Prox_4	false	false	false	None	None	175.3331	307.0133	PMF1-BGLAP;PMF1	PMF1-BGLAP;PMF1	0.7701	0.2958	0	2	TI_ONLY	DSB	1	0
12	2	Prox_11	false	false	false	None	None	129.8967	485.7433	MIR663A	MIR663A	0.2958	0.0000	2	-1	DSB		0	0
13	0		false	false	false	None	None	-0.1474	0.2512	AC004866.1	AC004866.1	0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
