SampleId	Chromosome	Start	End	CopyNumber	BAF
5FU-PATIENT2-T-CLONE1	11	1	2149359	2.0728	0.5215
5FU-PATIENT2-T-CLONE1	11	2149360	2238262	3.1350	0.6396
5FU-PATIENT2-T-CLONE1	11	2238263	36377771	2.0260	0.5100
5FU-PATIENT2-T-CLONE1	11	36377772	36377934	1.0988	0.9403
5FU-PATIENT2-T-CLONE1	11	36377935	38978959	1.9921	0.5080
5FU-PATIENT2-T-CLONE1	11	38978960	38979008	1.1915	0.8520
5FU-PATIENT2-T-CLONE1	11	38979009	44514984	1.9989	0.5078
5FU-PATIENT2-T-CLONE1	11	44514985	44581516	1.0041	1.0000
5FU-PATIENT2-T-CLONE1	11	44581517	53144204	2.0484	0.5345
5FU-PATIENT2-T-CLONE1	11	53144205	56530832	2.0167	0.5041
5FU-PATIENT2-T-CLONE1	11	56530833	56530917	3.1437	0.6851
5FU-PATIENT2-T-CLONE1	11	56530918	104850780	2.0166	0.5091
5FU-PATIENT2-T-CLONE1	11	104850781	104855392	0.9393	1.0000
5FU-PATIENT2-T-CLONE1	11	104855393	104855938	1.8948	0.5224
5FU-PATIENT2-T-CLONE1	11	104855939	104858302	0.9784	1.0000
5FU-PATIENT2-T-CLONE1	11	104858303	135006516	2.0265	0.5079
5FU-PATIENT2-T-CLONE1	22	1	14499999	2.0210	0.5068
5FU-PATIENT2-T-CLONE1	22	14500000	30215000	2.0210	0.5068
5FU-PATIENT2-T-CLONE1	22	30215001	31766059	3.0097	0.6553
5FU-PATIENT2-T-CLONE1	22	31766060	31767806	2.0153	0.5066
5FU-PATIENT2-T-CLONE1	22	31767807	51304566	1.0210	1.0000
5FU-PATIENT2-T-CLONE1	12	1	13731110	2.0313	0.5088
5FU-PATIENT2-T-CLONE1	12	13731111	13736433	1.0569	0.9778
5FU-PATIENT2-T-CLONE1	12	13736434	20533440	2.0047	0.5049
5FU-PATIENT2-T-CLONE1	12	20533441	20644022	0.9759	1.0000
5FU-PATIENT2-T-CLONE1	12	20644023	36356693	2.0099	0.5057
5FU-PATIENT2-T-CLONE1	12	36356694	38543989	2.1654	0.5214
5FU-PATIENT2-T-CLONE1	12	38543990	38543990	70.5966	0.9861
5FU-PATIENT2-T-CLONE1	12	38543991	54079732	2.0099	0.5108
5FU-PATIENT2-T-CLONE1	12	54079733	54079733	0.9598	1.0000
5FU-PATIENT2-T-CLONE1	12	54079734	81771015	2.0230	0.5083
5FU-PATIENT2-T-CLONE1	12	81771016	81871209	0.9666	1.0000
5FU-PATIENT2-T-CLONE1	12	81871210	82140000	1.9600	0.5102
5FU-PATIENT2-T-CLONE1	12	82140001	99865889	2.0033	1.0000
5FU-PATIENT2-T-CLONE1	12	99865890	99958587	0.9987	1.0000
5FU-PATIENT2-T-CLONE1	12	99958588	111739343	2.0407	1.0000
5FU-PATIENT2-T-CLONE1	12	111739344	111739591	2.7135	1.0000
5FU-PATIENT2-T-CLONE1	12	111739592	122683188	2.0210	1.0000
5FU-PATIENT2-T-CLONE1	12	122683189	122683271	2.8264	1.0000
5FU-PATIENT2-T-CLONE1	12	122683272	127023647	2.0187	1.0000
5FU-PATIENT2-T-CLONE1	12	127023648	127023690	3.3055	1.0000
5FU-PATIENT2-T-CLONE1	12	127023691	127650683	1.9738	1.0000
5FU-PATIENT2-T-CLONE1	12	127650684	127651102	10.0309	1.0000
5FU-PATIENT2-T-CLONE1	12	127651103	130343650	2.0041	1.0000
5FU-PATIENT2-T-CLONE1	12	130343651	130350695	1.0282	1.0000
5FU-PATIENT2-T-CLONE1	12	130350696	133851895	2.0684	1.0000
5FU-PATIENT2-T-CLONE1	13	1	17499999	2.0143	1.0000
5FU-PATIENT2-T-CLONE1	13	17500000	40928792	2.0143	1.0000
5FU-PATIENT2-T-CLONE1	13	40928793	40950630	1.0618	1.0000
5FU-PATIENT2-T-CLONE1	13	40950631	62898497	2.0041	1.0000
5FU-PATIENT2-T-CLONE1	13	62898498	63022427	0.9761	1.0000
5FU-PATIENT2-T-CLONE1	13	63022428	64598606	1.9442	1.0000
5FU-PATIENT2-T-CLONE1	13	64598607	64625939	0.9513	1.0000
