SampleId	ClusterId	ChainId	SvId	Type	ResolvedType	IsSynthetic	ChrStart	ChrEnd	PosStart	PosEnd	OrientStart	OrientEnd	InfoStart	InfoEnd	Ploidy
5FU-PATIENT1-N-CLONE4	3	1	1	INF	PAIR_OTHER	false	2	-1	88206985	0	-1	0	NORMAL		0.6910
5FU-PATIENT1-N-CLONE4	4	1	2	DUP	DUP	false	3	3	96586010	96586120	-1	1	NORMAL	NORMAL	0.9280
5FU-PATIENT1-N-CLONE4	3	2	3	BND	PAIR_OTHER	false	2	4	88206985	131742262	1	1	NORMAL	NORMAL	0.0713
5FU-PATIENT1-N-CLONE4	6	1	4	DEL	DEL	false	6	6	52936935	52937004	1	-1	NORMAL	NORMAL	1.0524
5FU-PATIENT1-N-CLONE4	7	1	5	DEL	DEL	false	6	6	113875637	113875678	1	-1	NORMAL	NORMAL	0.7139
5FU-PATIENT1-N-CLONE4	0	1	7	SGL	LINE	false	11	-1	59126782	0	1	0	NORMAL		0.2737
5FU-PATIENT1-N-CLONE4	1	1	8	DEL	DEL	false	11	11	61305840	61309492	1	-1	NORMAL	NORMAL	1.1011
5FU-PATIENT1-N-CLONE4	2	4	9	SGL	LINE	false	12	-1	79392032	0	-1	0	NORMAL		0.7645
5FU-PATIENT1-N-CLONE4	5	1	12	DUP	DUP	false	14	14	66977066	67044649	-1	1	NORMAL	NORMAL	1.0644
5FU-PATIENT1-N-CLONE4	0	2	16	BND	LINE	false	11	19	59126783	47020749	-1	1	NORMAL	NORMAL	0.1705
5FU-PATIENT1-N-CLONE4	2	1	17	BND	LINE	false	12	22	79392048	29065889	1	1	NORMAL	NORMAL	0.5265
5FU-PATIENT1-N-CLONE4	2	2	18	BND	LINE	false	4	22	138308760	29066062	1	-1	NORMAL	NORMAL	0.7638
5FU-PATIENT1-N-CLONE4	2	3	19	BND	LINE	false	4	22	138308778	29066121	-1	1	NORMAL	NORMAL	0.6301
