SampleId	Chromosome	Start	End	CopyNumber	BAF
LiverC150216DHealthyPOA	11	1	53144204	2.0099	0.5048
LiverC150216DHealthyPOA	11	53144205	135006516	2.0096	0.5050
LiverC150216DHealthyPOA	22	1	14499999	1.9825	0.5079
LiverC150216DHealthyPOA	22	14500000	51304566	1.9825	0.5079
LiverC150216DHealthyPOA	12	1	36356693	2.0157	0.5069
LiverC150216DHealthyPOA	12	36356694	72581265	2.0134	0.5054
LiverC150216DHealthyPOA	12	72581266	133851895	2.0069	0.5039
LiverC150216DHealthyPOA	13	1	17499999	2.0211	0.5056
LiverC150216DHealthyPOA	13	17500000	115169878	2.0211	0.5056
LiverC150216DHealthyPOA	14	1	17499999	2.0111	0.5040
LiverC150216DHealthyPOA	14	17500000	107349540	2.0111	0.5040
LiverC150216DHealthyPOA	15	1	18499999	2.0087	0.5049
LiverC150216DHealthyPOA	15	18500000	102531392	2.0087	0.5049
LiverC150216DHealthyPOA	16	1	20517764	1.9808	0.5041
LiverC150216DHealthyPOA	16	20517765	20517765	3.6878	0.7336
LiverC150216DHealthyPOA	16	20517766	36835800	1.9851	0.5043
LiverC150216DHealthyPOA	16	36835801	90354753	1.9966	0.5029
LiverC150216DHealthyPOA	17	1	23763005	1.9749	0.5083
LiverC150216DHealthyPOA	17	23763006	31149418	1.9848	0.5347
LiverC150216DHealthyPOA	17	31149419	81195210	1.9919	0.5056
LiverC150216DHealthyPOA	18	1	16960897	2.0233	0.5058
LiverC150216DHealthyPOA	18	16960898	77773065	2.0120	0.5036
LiverC150216DHealthyPOA	18	77773066	78077248	2.0647	0.5157
LiverC150216DHealthyPOA	19	1	26181781	1.9549	0.5122
LiverC150216DHealthyPOA	19	26181782	59128983	1.9704	0.5081
LiverC150216DHealthyPOA	1	1	27191664	1.9906	0.5069
LiverC150216DHealthyPOA	1	27191665	123035433	2.0137	0.5068
LiverC150216DHealthyPOA	1	123035434	194553493	2.0171	0.5060
LiverC150216DHealthyPOA	1	194553494	194553516	9.7065	0.8973
LiverC150216DHealthyPOA	1	194553517	205899001	2.0207	0.5048
LiverC150216DHealthyPOA	1	205899002	205899036	0.9115	1.0000
LiverC150216DHealthyPOA	1	205899037	249250621	2.0200	0.5055
LiverC150216DHealthyPOA	2	1	93826170	2.0147	0.5047
LiverC150216DHealthyPOA	2	93826171	133033724	2.0175	0.5044
LiverC150216DHealthyPOA	2	133033725	243199373	2.0223	0.5071
LiverC150216DHealthyPOA	3	1	92004853	2.0167	0.5055
LiverC150216DHealthyPOA	3	92004854	198022430	2.0176	0.5076
LiverC150216DHealthyPOA	4	1	21236034	2.0069	0.5030
LiverC150216DHealthyPOA	4	21236035	21236081	4.0681	0.7545
LiverC150216DHealthyPOA	4	21236082	51160116	2.0114	0.5034
LiverC150216DHealthyPOA	4	51160117	191154276	2.0212	0.5068
LiverC150216DHealthyPOA	5	1	47905640	2.0178	0.5047
LiverC150216DHealthyPOA	5	47905641	180915260	2.0182	0.5050
LiverC150216DHealthyPOA	6	1	35312509	2.0074	0.5044
LiverC150216DHealthyPOA	6	35312510	60330165	2.0091	0.5050
LiverC150216DHealthyPOA	6	60330166	171115067	2.0212	0.5058
LiverC150216DHealthyPOA	7	1	59554330	2.0149	0.5057
LiverC150216DHealthyPOA	7	59554331	141741998	2.0113	0.5053
LiverC150216DHealthyPOA	7	141741999	159138663	2.0160	0.5053
LiverC150216DHealthyPOA	8	1	26790426	2.0089	0.5025
LiverC150216DHealthyPOA	8	26790427	26790449	5.9503	0.8320
LiverC150216DHealthyPOA	8	26790450	45338886	2.0036	0.5053
LiverC150216DHealthyPOA	8	45338887	146364022	2.0170	0.5050
LiverC150216DHealthyPOA	X	1	60132011	1.0110	1.0000
LiverC150216DHealthyPOA	X	60132012	155270560	1.0112	1.0000
LiverC150216DHealthyPOA	9	1	48867678	2.0150	0.5057
LiverC150216DHealthyPOA	9	48867679	141213431	1.9977	0.5031
LiverC150216DHealthyPOA	Y	1	11604552	1.0015	1.0000
LiverC150216DHealthyPOA	Y	11604553	59373566	1.0000	1.0000
LiverC150216DHealthyPOA	20	1	27869568	2.0132	0.5045
LiverC150216DHealthyPOA	20	27869569	63025520	1.9987	0.5036
LiverC150216DHealthyPOA	10	1	38813362	2.0064	0.5042
LiverC150216DHealthyPOA	10	38813363	40754934	4.6084	0.7841
LiverC150216DHealthyPOA	10	40754935	135534747	2.0159	0.5065
LiverC150216DHealthyPOA	21	1	10823672	2.0063	0.5029
LiverC150216DHealthyPOA	21	10823673	12788128	2.0063	0.5029
LiverC150216DHealthyPOA	21	12788129	48129895	2.0063	0.5029
