Id	SvId	IsStart	Gene	TranscriptId	Canonical	IsUpstream	Disruptive	ReportedDisruption	UndisruptedCopyNumber	RegionType	CodingContext	Biotype	ExonBasePhase	NextSpliceRank	NextSplicePhase	NextSpliceDistance	TotalExonCount
0	5	true	ATP13A3	ENST00000439040	true	true	false	false	2.01	Upstream	5P_UTR	protein_coding	-1	0	-1	-1466	33
1	5	true	LINC00884	ENST00000448892	true	false	true	false	2.01	Intronic	NonCoding	antisense	-1	3	-1	14102	3
2	5	true	AC108676.1	ENST00000455557	true	true	false	false	2.01	Upstream	NonCoding	sense_overlapping	-1	0	-1	30614	2
3	5	true	TMEM44-AS1	ENST00000453671	true	false	false	false	2.01	Upstream	NonCoding	antisense	-1	2	-1	86052	4
4	6	true	ATP13A3	ENST00000439040	true	true	false	false	7.29	Upstream	5P_UTR	protein_coding	-1	0	-1	-1478	33
5	6	true	LINC00884	ENST00000448892	true	false	true	false	7.29	Intronic	NonCoding	antisense	-1	3	-1	14090	3
6	6	true	AC108676.1	ENST00000455557	true	true	false	false	7.29	Upstream	NonCoding	sense_overlapping	-1	0	-1	30602	2
7	6	true	TMEM44-AS1	ENST00000453671	true	false	false	false	7.29	Upstream	NonCoding	antisense	-1	2	-1	86040	4
8	7	true	ATP13A3	ENST00000439040	true	false	false	false	2.039999999999999	Upstream	5P_UTR	protein_coding	-1	2	-1	4651	33
9	7	true	LINC00884	ENST00000448892	true	true	true	false	2.039999999999999	Intronic	NonCoding	antisense	-1	2	-1	4880	3
10	7	true	AC108676.1	ENST00000455557	true	false	false	false	2.039999999999999	Upstream	NonCoding	sense_overlapping	-1	2	-1	1512	2
11	7	true	TMEM44-AS1	ENST00000453671	true	true	false	false	2.039999999999999	Upstream	NonCoding	antisense	-1	0	-1	-14056	4
12	9	true	NKX3-2	ENST00000382438	true	false	false	false	2.01	Upstream	Coding	protein_coding	-1	2	1	60326	2
13	9	true	LINC01096	ENST00000501050	true	false	false	false	2.01	Upstream	NonCoding	lincRNA	-1	2	-1	57575	2
14	9	true	BOD1L1	ENST00000040738	true	false	false	false	2.01	Intronic	Coding	protein_coding	-1	10	0	292	26
15	9	true	MIR5091	ENST00000578707	true	true	false	false	2.01	Upstream	NonCoding	miRNA	-1	0	-1	-1	1
16	9	true	RP11-341G5.1	ENST00000510907	true	true	false	false	2.01	Upstream	NonCoding	lincRNA	-1	0	-1	-22489	4
17	9	true	AC098830.1	ENST00000516283	true	true	false	false	2.01	Upstream	NonCoding	miRNA	-1	0	-1	-52371	1
18	11	true	IQGAP2	ENST00000274364	true	false	true	false	2.004	Intronic	Coding	protein_coding	-1	3	2	78122	36
19	11	true	CTD-2275D10.2	ENST00000505876	true	false	false	false	2.004	Upstream	NonCoding	processed_pseudogene	-1	1	-1	26166	1
20	11	false	SRFBP1	ENST00000339397	true	true	false	false	2.0060000000000002	Upstream	Coding	protein_coding	-1	0	-1	-1	8
21	12	true	AC091969.1	ENST00000506723	true	true	false	false	1.9999999999999991	Upstream	NonCoding	lincRNA	-1	0	-1	-1	4
22	13	true	AC091969.1	ENST00000506723	true	false	false	false	2.01	Upstream	NonCoding	lincRNA	-1	2	-1	70405	4
23	16	true	ADRA1A	ENST00000380586	true	true	false	false	-20.775413153858743	Upstream	Coding	protein_coding	-1	0	-1	-1	3
24	16	true	COX6B1P4	ENST00000519826	true	true	false	false	-20.775413153858743	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-79115	1
25	17	true	ADRA1A	ENST00000380586	true	false	false	false	-21.048707425157758	Upstream	Coding	protein_coding	-1	2	1	67527	3
26	17	true	COX6B1P4	ENST00000519826	true	false	false	false	-21.048707425157758	Upstream	NonCoding	processed_pseudogene	-1	1	-1	96632	1
27	20	true	MIRLET7DHG	ENST00000416309	true	true	false	false	-1.7099999999999995	Upstream	NonCoding	lincRNA	-1	0	-1	39407	4
28	20	true	ZNF169	ENST00000395395	true	false	false	false	-1.7099999999999995	Upstream	5P_UTR	protein_coding	-1	2	-1	29615	5
29	20	true	RP11-307E17.8	ENST00000454869	true	false	false	false	-1.7099999999999995	Upstream	NonCoding	lincRNA	-1	2	-1	89693	3
30	21	true	MIRLET7DHG	ENST00000416309	true	false	false	false	-1.6999999999999997	Upstream	NonCoding	lincRNA	-1	2	-1	44600	4
31	21	true	ZNF169	ENST00000395395	true	true	false	false	-1.6999999999999997	Upstream	5P_UTR	protein_coding	-1	0	-1	3454	5
32	21	true	RP11-307E17.8	ENST00000454869	true	true	false	false	-1.6999999999999997	Upstream	NonCoding	lincRNA	-1	0	-1	-50672	3
33	26	true	EFCAB4B	ENST00000440314	true	true	false	false	2.05597	Upstream	5P_UTR	protein_coding	-1	0	-1	9569	20
34	26	true	AC005831.1	ENST00000358444	true	true	false	false	2.05597	Upstream	NonCoding	pseudogene	-1	0	-1	-85569	2
35	26	true	RNU6-174P	ENST00000410406	true	true	false	false	2.05597	Upstream	NonCoding	snRNA	-1	0	-1	-49394	1
36	26	true	HIN1L	ENST00000237841	true	false	false	false	2.05597	Upstream	NonCoding	processed_pseudogene	-1	1	-1	56855	1
37	26	true	RP11-664D1.1	ENST00000537149	true	false	false	false	2.05597	Upstream	NonCoding	antisense	-1	2	-1	127280	2
38	26	false	ZDHHC17	ENST00000426126	true	false	true	false	2.007186	Intronic	Coding	protein_coding	-1	2	0	9040	17
39	26	false	RP11-461F16.3	ENST00000552426	true	false	false	false	2.007186	Upstream	NonCoding	antisense	-1	2	-1	91494	2
40	29	true	AC004069.2	ENST00000504082	true	false	false	false	2.0135479999999997	Upstream	NonCoding	lincRNA	-1	2	-1	94144	2
41	29	true	TET2	ENST00000540549	true	true	true	true	2.0135479999999997	Exonic	Coding	protein_coding	1	2	-1	866	11
42	29	true	TET2-AS1	ENST00000515414	true	false	false	false	2.0135479999999997	Upstream	NonCoding	antisense	-1	2	-1	56700	5
43	29	true	RN7SL89P	ENST00000480252	true	true	false	false	2.0135479999999997	Upstream	NonCoding	misc_RNA	-1	0	-1	-40285	1
44	29	false	ZNF423	ENST00000561648	true	false	false	false	1.9856	Upstream	Coding	protein_coding	-1	2	1	117928	8
45	29	false	RP11-305A4.3	ENST00000563124	true	false	false	false	1.9856	Upstream	NonCoding	lincRNA	-1	2	-1	16513	2
46	29	false	CNEP1R1	ENST00000458059	true	true	false	false	1.9856	Upstream	Coding	protein_coding	-1	0	-1	5639	7
47	31	true	RP11-436F9.1	ENST00000426205	true	false	false	false	2.011048	Upstream	NonCoding	lincRNA	-1	2	-1	42448	3
48	31	true	snoU13	ENST00000459440	true	false	false	false	2.011048	Upstream	NonCoding	snoRNA	-1	1	-1	55046	1
49	31	false	RAB12	ENST00000329286	true	true	true	false	1.9949999999999999	Exonic	Coding	protein_coding	2	0	-1	399	6
50	31	false	SOGA2	ENST00000359865	true	true	false	false	1.9949999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	-28305	17
