SampleId	Chromosome	Start	End	CopyNumber	BAF
EGAF00000827138	11	1	53144204	1.9860	0.5035
EGAF00000827138	11	53144205	120615076	1.9867	0.5040
EGAF00000827138	11	120615077	120615077	2.7989	0.6480
EGAF00000827138	11	120615078	135006516	1.9842	0.5041
EGAF00000827138	22	1	14499999	1.9874	0.5037
EGAF00000827138	22	14500000	51304566	1.9874	0.5037
EGAF00000827138	12	1	36356693	2.0010	0.5018
EGAF00000827138	12	36356694	133851895	1.9954	0.5019
EGAF00000827138	13	1	17499999	1.9953	0.5034
EGAF00000827138	13	17500000	115169878	1.9953	0.5034
EGAF00000827138	14	1	17499999	1.9946	0.5025
EGAF00000827138	14	17500000	102805593	1.9946	0.5025
EGAF00000827138	14	102805594	104172000	1.0199	1.0000
EGAF00000827138	14	104172001	107349540	1.9950	0.5043
EGAF00000827138	15	1	18499999	1.9965	0.5017
EGAF00000827138	15	18500000	102531392	1.9965	0.5017
EGAF00000827138	16	1	36835800	1.9795	0.5064
EGAF00000827138	16	36835801	90354753	1.9814	0.5060
EGAF00000827138	17	1	2429169	2.0179	0.5046
EGAF00000827138	17	2429170	2572746	1.0177	1.0000
EGAF00000827138	17	2572747	2634431	1.9879	0.5030
EGAF00000827138	17	2634432	2927000	0.9934	1.0000
EGAF00000827138	17	2927001	23763005	1.9924	0.5018
EGAF00000827138	17	23763006	81195210	1.9979	0.5057
EGAF00000827138	18	1	16960897	2.0065	0.5066
EGAF00000827138	18	16960898	78077248	1.9923	0.5028
EGAF00000827138	19	1	26181781	1.9787	0.5067
EGAF00000827138	19	26181782	59128983	1.9778	0.5059
EGAF00000827138	1	1	123035433	1.9909	0.5034
EGAF00000827138	1	123035434	249250621	1.9949	0.5021
EGAF00000827138	2	1	93826170	1.9928	0.5023
EGAF00000827138	2	93826171	243199373	1.9983	0.5029
EGAF00000827138	3	1	92004853	1.9826	0.5048
EGAF00000827138	3	92004854	118863878	1.9905	0.5030
EGAF00000827138	3	118863879	118863891	2.8146	0.6465
EGAF00000827138	3	118863892	198022430	1.9998	0.5025
EGAF00000827138	4	1	51160116	1.9854	0.5057
EGAF00000827138	4	51160117	191154276	1.9969	0.5025
EGAF00000827138	5	1	47905640	1.9846	0.5047
EGAF00000827138	5	47905641	180915260	1.9927	0.5027
EGAF00000827138	6	1	60330165	1.9962	0.5019
EGAF00000827138	6	60330166	171115067	1.9993	0.5027
EGAF00000827138	7	1	59554330	2.0009	0.5005
EGAF00000827138	7	59554331	159138663	1.9960	0.5042
EGAF00000827138	8	1	45338886	1.9957	0.5024
EGAF00000827138	8	45338887	146364022	1.9887	0.5041
EGAF00000827138	X	1	40867653	1.9681	0.5085
EGAF00000827138	X	40867654	40867756	2.7609	0.6496
EGAF00000827138	X	40867757	60132011	1.9673	0.5079
EGAF00000827138	X	60132012	155270560	1.9457	0.5139
EGAF00000827138	9	1	48867678	1.9898	0.5040
EGAF00000827138	9	48867679	141213431	1.9898	0.5043
EGAF00000827138	20	1	27869568	1.9979	0.5008
EGAF00000827138	20	27869569	63025520	1.9890	0.5036
EGAF00000827138	10	1	40754934	2.0029	0.5018
EGAF00000827138	10	40754935	135534747	1.9907	0.5028
EGAF00000827138	21	1	12788128	1.9976	0.5010
EGAF00000827138	21	12788129	48129895	1.9976	0.5010
