SampleId	Chromosome	Start	End	CopyNumber	BAF
Healthy17CLONE3	11	1	9246000	1.9315	0.5223
Healthy17CLONE3	11	9246001	9577000	1.3711	0.5782
Healthy17CLONE3	11	9577001	33132000	1.9726	0.5164
Healthy17CLONE3	11	33132001	33341000	1.5215	0.6270
Healthy17CLONE3	11	33341001	46145000	2.0428	0.5276
Healthy17CLONE3	11	46145001	48141000	1.5969	0.5820
Healthy17CLONE3	11	48141001	53144204	2.2208	0.5445
Healthy17CLONE3	11	53144205	135006516	1.9748	0.5362
Healthy17CLONE3	22	1	14499999	2.2479	0.5551
Healthy17CLONE3	22	14500000	17543000	2.2479	0.5551
Healthy17CLONE3	22	17543001	26200000	1.8070	0.5560
Healthy17CLONE3	22	26200001	26741000	2.2474	0.5550
Healthy17CLONE3	22	26741001	47930000	1.8074	0.5409
Healthy17CLONE3	22	47930001	50089000	2.2740	0.5592
Healthy17CLONE3	22	50089001	51304566	1.7393	0.5637
Healthy17CLONE3	12	1	36356693	1.9336	0.5348
Healthy17CLONE3	12	36356694	57182000	1.8576	0.5305
Healthy17CLONE3	12	57182001	90361838	1.9506	0.5202
Healthy17CLONE3	12	90361839	90361870	1.0956	0.8542
Healthy17CLONE3	12	90361871	114476000	1.8893	0.5368
Healthy17CLONE3	12	114476001	114769000	2.3661	0.5774
Healthy17CLONE3	12	114769001	125550000	1.7619	0.5465
Healthy17CLONE3	12	125550001	127650890	2.0505	0.5123
Healthy17CLONE3	12	127650891	127650891	24.6760	0.9616
Healthy17CLONE3	12	127650892	133851895	2.1188	0.5526
Healthy17CLONE3	13	1	17499999	2.0684	0.5556
Healthy17CLONE3	13	17500000	20312000	2.0684	0.5556
Healthy17CLONE3	13	20312001	20563000	1.3796	0.5782
Healthy17CLONE3	13	20563001	73532000	2.0036	0.5276
Healthy17CLONE3	13	73532001	73820000	1.4534	0.6087
Healthy17CLONE3	13	73820001	115169878	2.0204	0.5225
Healthy17CLONE3	14	1	17499999	1.9932	0.5284
Healthy17CLONE3	14	17500000	31380000	1.9932	0.5284
Healthy17CLONE3	14	31380001	31899000	1.5173	0.5782
Healthy17CLONE3	14	31899001	34914000	1.9847	0.5472
Healthy17CLONE3	14	34914001	35606000	1.4545	0.5782
Healthy17CLONE3	14	35606001	39897000	1.9129	0.5267
Healthy17CLONE3	14	39897001	45351000	2.1540	0.5374
Healthy17CLONE3	14	45351001	45759000	1.7128	0.5782
Healthy17CLONE3	14	45759001	50055000	2.1679	0.5427
Healthy17CLONE3	14	50055001	50442000	1.4216	0.5782
Healthy17CLONE3	14	50442001	64174000	1.9067	0.5224
Healthy17CLONE3	14	64174001	64364000	1.4100	0.6357
Healthy17CLONE3	14	64364001	107349540	1.9254	0.5345
Healthy17CLONE3	15	1	18499999	2.0258	0.5343
Healthy17CLONE3	15	18500000	40869000	2.0258	0.5343
Healthy17CLONE3	15	40869001	41851000	1.5134	0.5782
Healthy17CLONE3	15	41851001	102531392	1.9020	0.5352
Healthy17CLONE3	16	1	25348000	1.8708	0.5399
Healthy17CLONE3	16	25348001	26612225	2.2568	0.5570
Healthy17CLONE3	16	26612226	27097000	2.2036	0.5462
Healthy17CLONE3	16	27097001	31543000	1.6936	0.5508
Healthy17CLONE3	16	31543001	33964712	2.1640	0.6484
Healthy17CLONE3	16	33964713	33965236	1.9085	0.6013
Healthy17CLONE3	16	33965237	36835800	2.2952	0.5916
Healthy17CLONE3	16	36835801	66506000	2.0443	0.5417
Healthy17CLONE3	16	66506001	75714000	1.6989	0.5450
Healthy17CLONE3	16	75714001	90354753	1.9727	0.5302
Healthy17CLONE3	17	1	23763005	1.7974	0.5372
Healthy17CLONE3	17	23763006	31149418	1.7170	0.5735
Healthy17CLONE3	17	31149419	31149419	16.3163	0.9397
Healthy17CLONE3	17	31149420	33248000	2.2090	0.5542
Healthy17CLONE3	17	33248001	81195210	1.7770	0.5513
Healthy17CLONE3	18	1	16960897	1.9332	0.5248
Healthy17CLONE3	18	16960898	19356000	1.5919	0.5755
Healthy17CLONE3	18	19356001	29476000	1.9677	0.5344
Healthy17CLONE3	18	29476001	29742000	1.5071	0.5782
Healthy17CLONE3	18	29742001	43536000	2.0655	0.5292
Healthy17CLONE3	18	43536001	43840000	1.5822	0.6146
Healthy17CLONE3	18	43840001	55251000	2.0248	0.5386
Healthy17CLONE3	18	55251001	55543000	1.5233	0.5782
Healthy17CLONE3	18	55543001	77100140	2.0365	0.5327
Healthy17CLONE3	18	77100141	77100182	0.8694	1.0000
Healthy17CLONE3	18	77100183	78077248	2.0245	0.5053
Healthy17CLONE3	19	1	21665824	1.6029	0.5688
Healthy17CLONE3	19	21665825	23254029	2.0587	0.5143
Healthy17CLONE3	19	23254030	26181781	2.0088	0.5103
Healthy17CLONE3	19	26181782	30083000	2.2779	0.5653
Healthy17CLONE3	19	30083001	30552000	1.7573	0.5690
Healthy17CLONE3	19	30552001	32749000	2.2731	0.5601
Healthy17CLONE3	19	32749001	40045000	1.7027	0.5631
Healthy17CLONE3	19	40045001	40279000	2.1830	0.5419
Healthy17CLONE3	19	40279001	59128983	1.6944	0.5537
Healthy17CLONE3	1	1	1865000	1.5950	0.5782
Healthy17CLONE3	1	1865001	6248000	2.1536	0.5648
Healthy17CLONE3	1	6248001	18780000	1.7725	0.5449
Healthy17CLONE3	1	18780001	29605000	1.6839	0.5597
Healthy17CLONE3	1	29605001	31511000	2.0638	0.5380
Healthy17CLONE3	1	31511001	33463000	1.5777	0.5824
Healthy17CLONE3	1	33463001	35393000	2.1069	0.5421
Healthy17CLONE3	1	35393001	36869000	1.6188	0.5782
Healthy17CLONE3	1	36869001	37882000	2.1466	0.5455
Healthy17CLONE3	1	37882001	48965000	1.8184	0.5529
Healthy17CLONE3	1	48965001	51057000	2.1661	0.5484
Healthy17CLONE3	1	51057001	53504000	1.6524	0.5830
Healthy17CLONE3	1	53504001	62148000	1.9971	0.5333
Healthy17CLONE3	1	62148001	62287000	1.4372	0.6111
Healthy17CLONE3	1	62287001	78099000	1.9662	0.5255
Healthy17CLONE3	1	78099001	78545000	1.5678	0.5909
Healthy17CLONE3	1	78545001	109529000	1.9816	0.5266
Healthy17CLONE3	1	109529001	109777000	1.4818	0.5782
