SampleId	Chromosome	Start	End	CopyNumber	BAF
C30913DClone10	11	1	53144204	2.0080	0.5087
C30913DClone10	11	53144205	135006516	1.9965	0.5085
C30913DClone10	22	1	14499999	1.9659	0.5092
C30913DClone10	22	14500000	51304566	1.9659	0.5092
C30913DClone10	12	1	36356693	1.9922	0.5082
C30913DClone10	12	36356694	120729549	2.0017	0.5131
C30913DClone10	12	120729550	120729587	0.9633	1.0000
C30913DClone10	12	120729588	133851895	1.9543	0.5121
C30913DClone10	13	1	17499999	1.9939	0.5059
C30913DClone10	13	17500000	115169878	1.9939	0.5059
C30913DClone10	14	1	17499999	1.9930	0.5066
C30913DClone10	14	17500000	107349540	1.9930	0.5066
C30913DClone10	15	1	18499999	1.9868	0.5134
C30913DClone10	15	18500000	54844824	1.9868	0.5134
C30913DClone10	15	54844825	102531392	1.9894	0.5053
C30913DClone10	16	1	6686814	1.9188	0.5229
C30913DClone10	16	6686815	6686844	3.4746	0.7288
C30913DClone10	16	6686845	17887126	1.9597	0.5192
C30913DClone10	16	17887127	36835800	1.9668	0.5219
C30913DClone10	16	36835801	90354753	1.9692	0.5138
C30913DClone10	17	1	23763005	1.9468	0.5223
C30913DClone10	17	23763006	81195210	1.9663	0.5161
C30913DClone10	18	1	16960897	1.9882	0.5097
C30913DClone10	18	16960898	78077248	1.9924	0.5068
C30913DClone10	19	1	26181781	1.9059	0.5410
C30913DClone10	19	26181782	59128983	1.9359	0.5330
C30913DClone10	1	1	66413996	1.9848	0.5179
C30913DClone10	1	66413997	66415477	0.8835	1.0000
C30913DClone10	1	66415478	95695543	2.0110	0.5086
C30913DClone10	1	95695544	123035433	2.0023	0.5041
C30913DClone10	1	123035434	219107524	2.0061	0.5089
C30913DClone10	1	219107525	249250621	1.9915	0.5100
C30913DClone10	2	1	93826170	1.9900	0.5083
C30913DClone10	2	93826171	243199373	2.0006	0.5077
C30913DClone10	3	1	92004853	1.9949	0.5075
C30913DClone10	3	92004854	94491731	2.0031	0.5025
C30913DClone10	3	94491732	95651808	2.9652	0.6522
C30913DClone10	3	95651809	111726406	2.0149	0.5057
C30913DClone10	3	111726407	113471636	2.9900	0.6574
C30913DClone10	3	113471637	198022430	2.0016	0.5071
C30913DClone10	4	1	51160116	1.9967	0.5073
C30913DClone10	4	51160117	191154276	2.0018	0.5077
C30913DClone10	5	1	47905640	1.9867	0.5074
C30913DClone10	5	47905641	180915260	2.0013	0.5091
C30913DClone10	6	1	60330165	1.9935	0.5084
C30913DClone10	6	60330166	171115067	1.9996	0.5050
C30913DClone10	7	1	59554330	1.9913	0.5064
C30913DClone10	7	59554331	159138663	1.9872	0.5092
C30913DClone10	8	1	45338886	1.9787	0.5132
C30913DClone10	8	45338887	146364022	1.9991	0.5061
C30913DClone10	X	1	60132011	1.0024	1.0000
C30913DClone10	X	60132012	155270560	1.0010	1.0000
C30913DClone10	9	1	48867678	1.9970	0.5069
C30913DClone10	9	48867679	141213431	1.9893	0.5073
C30913DClone10	Y	1	11604552	1.0055	1.0000
C30913DClone10	Y	11604553	59373566	0.9939	1.0000
C30913DClone10	20	1	27869568	1.9979	0.5101
C30913DClone10	20	27869569	63025520	1.9722	0.5120
C30913DClone10	10	1	40754934	1.9812	0.5087
C30913DClone10	10	40754935	135534747	1.9943	0.5087
C30913DClone10	21	1	12788128	1.9809	0.5078
C30913DClone10	21	12788129	48129895	1.9809	0.5078
