svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
6	6		false	false	false	None	None	0.4950	1.0685	ZFAND3	ZFAND3	0.5989	0.5893	0	1	ISOLATED_BE	ISOLATED_BE	0	0
9	8		false	false	false	None	None	0.1487	1.8861	RALYL	RALYL	0.1212	0.1212	0	0	DSB	DSB	0	0
11	9	Prox_12	false	false	false	None	None	7.2700	17.2839			0.4397	0.0000	0	-1	DSB		0	0
12	9	Prox_11	false	false	false	None	None	6.6267	16.4125			0.4397	0.0000	0	-1	DSB		0	0
13	2	Prox_14	false	false	false	None	None	0.7201	3.2765	OPCML	OPCML	0.0805	0.0000	0	-1	DSB		0	0
14	2	Prox_13	false	false	false	None	None	0.4481	2.8912	OPCML	OPCML	0.0805	0.0000	0	-1	DSB		0	0
16	3		false	false	false	None	None	-0.2192	0.3792	RN7SKP15	RN7SKP15	0.6798	0.5313	0	1	ISOLATED_BE	ISOLATED_BE	0	0
17	5		false	false	false	None	None	-0.1877	0.3755	GABBR2	GABBR2	0.4805	0.7048	1	0	ISOLATED_BE	ISOLATED_BE	0	0
18	0		false	false	false	None	None	-0.2490	0.3969			0.0000	0.0000	1	0	ISOLATED_BE	ISOLATED_BE	0	0
19	1		false	false	false	None	None	-0.0445	0.2098			0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
22	11	Prox_23	false	false	false	None	None	-0.6285	0.6488	MIR3648;MIR3687	MIR3648;MIR3687	0.2292	0.2292	3	3	COMPLEX_OTHER	COMPLEX_OTHER	0	0
23	11	Prox_22	false	false	false	None	None	-0.1712	0.3570	AC004866.1	AC004866.1	0.6374	0.2290	1	3	ISOLATED_BE	COMPLEX_OTHER	0	0
24	11	Prox_27	false	false	false	None	None	-0.1214	0.5919	ANKRD30BL;RNA5-8SP5;CDC27P1	ANKRD30BL;RNA5-8SP5;CDC27P1	0.3699	0.2290	0	3	ISOLATED_BE	COMPLEX_OTHER	0	0
27	11	Prox_23	false	false	false	None	None	0.6232	1.8562			0.2290	0.0000	3	2	COMPLEX_OTHER	ISOLATED_BE	0	0
