SampleId	ClusterId	ChainId	SvId	Type	ResolvedType	IsSynthetic	ChrStart	ChrEnd	PosStart	PosEnd	OrientStart	OrientEnd	InfoStart	InfoEnd	Ploidy
5FU-PATIENT12-COLN-CLONE7	5	1	6	BND	LINE	false	7	10	47865173	66416071	-1	-1	NORMAL	NORMAL	0.7995
5FU-PATIENT12-COLN-CLONE7	5	2	7	BND	LINE	false	7	10	47865442	66416085	1	1	NORMAL	NORMAL	0.9492
5FU-PATIENT12-COLN-CLONE7	0	1	8	DUP	DUP	false	11	11	108760902	108761062	-1	1	NORMAL	NORMAL	1.4211
5FU-PATIENT12-COLN-CLONE7	2	1	10	DEL	DEL	false	15	15	85442193	85442225	1	-1	NORMAL	NORMAL	0.7660
5FU-PATIENT12-COLN-CLONE7	3	1	11	DEL	DEL	false	16	16	6656907	6766669	1	-1	NORMAL	NORMAL	1.0673
5FU-PATIENT12-COLN-CLONE7	4	2	13	SGL	LINE	false	18	-1	34628518	0	1	0	NORMAL		0.5154
5FU-PATIENT12-COLN-CLONE7	4	1	14	BND	LINE	false	6	18	29920560	34628521	-1	-1	NORMAL	NORMAL	0.0679
5FU-PATIENT12-COLN-CLONE7	6	1	16	DEL	DEL	false	20	20	4159916	4159961	1	-1	NORMAL	NORMAL	0.8267
5FU-PATIENT12-COLN-CLONE7	1	0	18	BND	LINE	false	3	X	98179631	11732906	1	-1	NORMAL	NORMAL	1.0299
5FU-PATIENT12-COLN-CLONE7	1	0	19	BND	LINE	false	3	X	98179619	11733468	-1	1	NORMAL	NORMAL	0.8367
