svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
0	2		false	false	false	None	None	0.7253	1.5351	PDE4B	PDE4B	0.5455	0.5462	0	0	DSB	DSB	0	0
1	3	Prox_13	false	false	false	None	None	14.3231	58.2969	PMF1-BGLAP;PMF1	PMF1-BGLAP;PMF1	0.7701	0.0000	0	-1	DSB		0	0
3	5		false	false	false	None	None	0.7422	1.1894			0.4252	0.3970	0	1	ISOLATED_BE	ISOLATED_BE	0	0
4	6		false	false	false	None	None	0.7915	1.2403	TAGLN3	TAGLN3	0.6914	0.7319	0	1	ISOLATED_BE	ISOLATED_BE	0	0
7	4		false	false	false	None	None	0.1258	1.9557			0.7747	0.7747	0	0	DSB	DSB	0	0
8	1		false	false	false	None	None	-0.1350	0.2532			0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
9	7	Prox_10	false	false	false	None	None	0.4595	2.8106	RP11-420N3.2;RBFOX1	RP11-420N3.2;RBFOX1	0.0985	0.0000	0	-1	DSB		0	0
10	7	Prox_9	false	false	false	None	None	0.3282	2.6070	RP11-420N3.2;RBFOX1	RP11-420N3.2;RBFOX1	0.0985	0.0000	0	-1	DSB		0	0
11	0		false	false	false	None	None	-0.0954	0.1698	TMEM56-RWDD3;RP11-57H12.3;RWDD3	TMEM56-RWDD3;RP11-57H12.3;RWDD3	0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
12	3	Prox_13	false	false	false	None	None	8.0140	14.6860	MIR663A	MIR663A	0.2948	0.0000	1	-1	TI_ONLY		1	0
13	3	Prox_1	false	false	false	None	None	6.8786	20.1427	PMF1-BGLAP;PMF1	PMF1-BGLAP;PMF1	0.7701	0.2958	0	1	DSB	TI_ONLY	0	1
