clusterId	resolvedType	synthetic	subClonal	subType	clusterCount	clusterDesc
0	ARTIFACT	false	true	PAIR_INF	1	INF
1	ARTIFACT	false	false	PAIR_INF	1	INF
2	ARTIFACT	false	false	PAIR_INF	1	INF
3	ARTIFACT	false	false	PAIR_INF	1	INF
4	ARTIFACT	false	false	PAIR_INF	1	INF
5	ARTIFACT	false	false	PAIR_INF	1	INF
6	ARTIFACT	false	true	PAIR_INF	1	INF
7	ARTIFACT	false	false	PAIR_INF	1	INF
8	ARTIFACT	false	false	PAIR_INF	1	INF
9	ARTIFACT	false	true	LOW_VAF	1	BND
10	ARTIFACT	false	true	PAIR_INF	1	INF
11	ARTIFACT	false	false	PAIR_INF	1	INF
12	ARTIFACT	false	false	PAIR_INF	1	INF
13	INCOMPLETE	false	true	INF	1	INF
14	INCOMPLETE	false	true	INF	1	INF
15	INCOMPLETE	false	false	INF	1	INF
16	SIMPLE	false	false	DEL	1	DEL
17	INCOMPLETE	false	false	INF	1	INF
18	INCOMPLETE	false	true	INF	1	INF
19	INCOMPLETE	false	true	INF	1	INF
20	INCOMPLETE	false	true	INF	1	INF
