SampleId	ClusterId	ChainId	Chromosome	PosStart	PosEnd	LinkPloidy
5FU-PATIENT2-T-CLONE1	5	1	11	2149360	C	1.0996
5FU-PATIENT2-T-CLONE1	5	1	11	T	2238262	1.0996
5FU-PATIENT2-T-CLONE1	6	1	11	T	36377771	0.9218
5FU-PATIENT2-T-CLONE1	6	1	11	36377935	C	0.9218
5FU-PATIENT2-T-CLONE1	7	1	11	T	38978959	0.8152
5FU-PATIENT2-T-CLONE1	7	1	11	38979009	C	0.8152
5FU-PATIENT2-T-CLONE1	8	1	11	T	44514984	1.0169
5FU-PATIENT2-T-CLONE1	8	1	11	44581517	C	1.0169
5FU-PATIENT2-T-CLONE1	9	1	11	56530833	T	1.1368
5FU-PATIENT2-T-CLONE1	9	1	11	C	56530917	1.1368
5FU-PATIENT2-T-CLONE1	10	0	11	104858303	T	1.0362
5FU-PATIENT2-T-CLONE1	10	0	11	104855393	104855938	1.0362
5FU-PATIENT2-T-CLONE1	10	0	11	C	104850780	1.0362
5FU-PATIENT2-T-CLONE1	11	0	22	30215001	31766059	0.9993
5FU-PATIENT2-T-CLONE1	11	0	22	C	31767806	0.9993
5FU-PATIENT2-T-CLONE1	13	1	12	T	13731110	0.9769
5FU-PATIENT2-T-CLONE1	13	1	12	13736434	C	0.9769
5FU-PATIENT2-T-CLONE1	14	1	12	T	20533440	1.0317
5FU-PATIENT2-T-CLONE1	14	1	12	20644023	C	1.0317
5FU-PATIENT2-T-CLONE1	16	1	5	114650540	T	1.0945
5FU-PATIENT2-T-CLONE1	16	1	12	C	54079732	1.0945
5FU-PATIENT2-T-CLONE1	16	2	5	C	114650538	1.0321
5FU-PATIENT2-T-CLONE1	16	2	12	54079734	T	1.0321
5FU-PATIENT2-T-CLONE1	17	1	12	C	81771015	1.0278
5FU-PATIENT2-T-CLONE1	17	1	12	81871210	T	1.0278
5FU-PATIENT2-T-CLONE1	18	1	12	82140001	T	0.0430
5FU-PATIENT2-T-CLONE1	19	1	12	C	99865889	1.0217
5FU-PATIENT2-T-CLONE1	19	1	12	99958588	T	1.0217
5FU-PATIENT2-T-CLONE1	20	0	14	C	68755628	0.6804
5FU-PATIENT2-T-CLONE1	20	0	12	111739344	111739591	0.6804
5FU-PATIENT2-T-CLONE1	20	0	14	68755677	T	0.6804
5FU-PATIENT2-T-CLONE1	21	1	12	122683189	T	0.8034
5FU-PATIENT2-T-CLONE1	21	1	12	C	122683271	0.8034
5FU-PATIENT2-T-CLONE1	22	1	12	127023648	T	1.3158
5FU-PATIENT2-T-CLONE1	22	1	12	C	127023690	1.3158
5FU-PATIENT2-T-CLONE1	23	1	9	C	79186724	0.0800
5FU-PATIENT2-T-CLONE1	23	1	12	C	127650683	0.0800
5FU-PATIENT2-T-CLONE1	23	2	1	91852639	C	13.0638
5FU-PATIENT2-T-CLONE1	23	2	12	C	127651102	13.0638
