SampleId	Chromosome	Start	End	CopyNumber	BAF
EGAF00001014395	11	1	53144204	1.9839	0.5049
EGAF00001014395	11	53144205	135006516	1.9765	0.5064
EGAF00001014395	22	1	14499999	1.9197	0.5209
EGAF00001014395	22	14500000	51304566	1.9197	0.5209
EGAF00001014395	12	1	36356693	1.9980	0.5046
EGAF00001014395	12	36356694	133851895	1.9866	0.5068
EGAF00001014395	13	1	17499999	2.0001	0.5036
EGAF00001014395	13	17500000	115169878	2.0001	0.5036
EGAF00001014395	14	1	17499999	1.9880	0.5061
EGAF00001014395	14	17500000	107349540	1.9880	0.5061
EGAF00001014395	15	1	18499999	1.9828	0.5052
EGAF00001014395	15	18500000	102531392	1.9828	0.5052
EGAF00001014395	16	1	33954799	1.9553	0.5085
EGAF00001014395	16	33954800	33957051	1.2045	0.7978
EGAF00001014395	16	33957052	36835800	1.9931	0.5456
EGAF00001014395	16	36835801	90354753	1.9686	0.5095
EGAF00001014395	17	1	23763005	1.9444	0.5157
EGAF00001014395	17	23763006	81195210	1.9446	0.5152
EGAF00001014395	18	1	16960897	2.0036	0.5035
EGAF00001014395	18	16960898	78077248	1.9969	0.5032
EGAF00001014395	19	1	26181781	1.8861	0.5336
EGAF00001014395	19	26181782	59128983	1.9107	0.5215
EGAF00001014395	1	1	123035433	1.9687	0.5090
EGAF00001014395	1	123035434	249250621	1.9847	0.5047
EGAF00001014395	2	1	93826170	1.9877	0.5044
EGAF00001014395	2	93826171	123358297	1.9895	0.5028
EGAF00001014395	2	123358298	123358298	3.6935	0.7322
EGAF00001014395	2	123358299	133025667	1.9736	0.5235
EGAF00001014395	2	133025668	243199373	1.9964	0.5034
EGAF00001014395	3	1	92004853	1.9950	0.5043
EGAF00001014395	3	92004854	198022430	1.9976	0.5046
EGAF00001014395	4	1	51160116	1.9916	0.5053
EGAF00001014395	4	51160117	191154276	2.0058	0.5020
EGAF00001014395	5	1	47905640	2.0066	0.5051
EGAF00001014395	5	47905641	180915260	1.9957	0.5041
EGAF00001014395	6	1	60330165	1.9808	0.5048
EGAF00001014395	6	60330166	171115067	2.0027	0.5024
EGAF00001014395	7	1	59554330	1.9891	0.5034
EGAF00001014395	7	59554331	159138663	1.9887	0.5071
EGAF00001014395	8	1	45338886	1.9926	0.5040
EGAF00001014395	8	45338887	146364022	1.9973	0.5025
EGAF00001014395	X	1	60132011	0.9998	1.0000
EGAF00001014395	X	60132012	155270560	0.9965	1.0000
EGAF00001014395	9	1	48867678	2.0005	0.5038
EGAF00001014395	9	48867679	141213431	1.9735	0.5074
EGAF00001014395	Y	1	11604552	0.9967	1.0000
EGAF00001014395	Y	11604553	59373566	0.9974	1.0000
EGAF00001014395	20	1	27869568	1.9919	0.5060
EGAF00001014395	20	27869569	63025520	1.9457	0.5140
EGAF00001014395	10	1	40754934	2.0010	0.5020
EGAF00001014395	10	40754935	135534747	1.9792	0.5078
EGAF00001014395	21	1	12788128	1.9863	0.5080
EGAF00001014395	21	12788129	48129895	1.9863	0.5080
