SampleId	Chromosome	Start	End	CopyNumber	BAF
LiverC150216DHealthyPO	11	1	53144204	2.0079	0.5038
LiverC150216DHealthyPO	11	53144205	135006516	2.0054	0.5059
LiverC150216DHealthyPO	22	1	14499999	1.9668	0.5094
LiverC150216DHealthyPO	22	14500000	51304566	1.9668	0.5094
LiverC150216DHealthyPO	12	1	3891769	2.0593	0.5151
LiverC150216DHealthyPO	12	3891770	34851644	2.0034	0.5109
LiverC150216DHealthyPO	12	34851645	36356693	1.4498	0.6759
LiverC150216DHealthyPO	12	36356694	77182173	2.0071	0.5043
LiverC150216DHealthyPO	12	77182174	133851895	1.9999	0.5060
LiverC150216DHealthyPO	13	1	17499999	2.0081	0.5039
LiverC150216DHealthyPO	13	17500000	115169878	2.0081	0.5039
LiverC150216DHealthyPO	14	1	17499999	2.0005	0.5041
LiverC150216DHealthyPO	14	17500000	107349540	2.0005	0.5041
LiverC150216DHealthyPO	15	1	18499999	1.9941	0.5063
LiverC150216DHealthyPO	15	18500000	102531392	1.9941	0.5063
LiverC150216DHealthyPO	16	1	36835800	1.9718	0.5101
LiverC150216DHealthyPO	16	36835801	49974578	1.9715	0.5055
LiverC150216DHealthyPO	16	49974579	90354753	1.9871	0.5042
LiverC150216DHealthyPO	17	1	23763005	1.9754	0.5082
LiverC150216DHealthyPO	17	23763006	81195210	1.9816	0.5065
LiverC150216DHealthyPO	18	1	8609842	2.0052	0.5069
LiverC150216DHealthyPO	18	8609843	16960897	1.9905	0.5028
LiverC150216DHealthyPO	18	16960898	78077248	2.0008	0.5055
LiverC150216DHealthyPO	19	1	26181781	1.9648	0.5206
LiverC150216DHealthyPO	19	26181782	59128983	1.9663	0.5107
LiverC150216DHealthyPO	1	1	123035433	1.9940	0.5091
LiverC150216DHealthyPO	1	123035434	249250621	2.0505	0.5159
LiverC150216DHealthyPO	2	1	93826170	2.0168	0.5052
LiverC150216DHealthyPO	2	93826171	243199373	2.0197	0.5062
LiverC150216DHealthyPO	3	1	92004853	2.0031	0.5038
LiverC150216DHealthyPO	3	92004854	194223697	2.0115	0.5043
LiverC150216DHealthyPO	3	194223698	194223709	7.2942	0.8633
LiverC150216DHealthyPO	3	194223710	194223744	14.9219	0.9332
LiverC150216DHealthyPO	3	194223745	198022430	2.0383	0.5085
LiverC150216DHealthyPO	4	1	13345000	2.0045	0.5063
LiverC150216DHealthyPO	4	13345001	13607000	3.0659	0.7141
LiverC150216DHealthyPO	4	13607001	51160116	2.0090	0.5030
LiverC150216DHealthyPO	4	51160117	106155920	2.0101	0.5036
LiverC150216DHealthyPO	4	106155921	191154276	2.0136	0.5046
LiverC150216DHealthyPO	5	1	47905640	2.0135	0.5028
LiverC150216DHealthyPO	5	47905641	75780098	2.0044	0.5035
LiverC150216DHealthyPO	5	75780099	121251822	2.0208	0.5051
LiverC150216DHealthyPO	5	121251823	152139454	2.0067	0.5037
LiverC150216DHealthyPO	5	152139455	152139494	8.6117	0.8843
LiverC150216DHealthyPO	5	152139495	180915260	2.0165	0.5059
LiverC150216DHealthyPO	6	1	60330165	1.9924	0.5030
LiverC150216DHealthyPO	6	60330166	171115067	2.0062	0.5067
LiverC150216DHealthyPO	7	1	54372538	2.0119	0.5054
LiverC150216DHealthyPO	7	54372539	59554330	2.0209	0.5104
LiverC150216DHealthyPO	7	59554331	159138663	2.0174	0.5075
LiverC150216DHealthyPO	8	1	26790426	2.0051	0.5049
LiverC150216DHealthyPO	8	26790427	26790449	26.5151	0.9626
LiverC150216DHealthyPO	8	26790450	45338886	2.0010	0.5033
LiverC150216DHealthyPO	8	45338887	146364022	2.0226	0.5057
LiverC150216DHealthyPO	X	1	60132011	1.0112	1.0000
LiverC150216DHealthyPO	X	60132012	155270560	1.0140	1.0000
LiverC150216DHealthyPO	9	1	48867678	2.0033	0.5028
LiverC150216DHealthyPO	9	48867679	97011424	2.0032	0.5123
LiverC150216DHealthyPO	9	97011425	97011425	5.7370	0.8260
LiverC150216DHealthyPO	9	97011426	141213431	2.0139	0.5044
LiverC150216DHealthyPO	Y	1	11604552	0.9872	1.0000
LiverC150216DHealthyPO	Y	11604553	59373566	0.9971	1.0000
LiverC150216DHealthyPO	20	1	27869568	2.0085	0.5044
LiverC150216DHealthyPO	20	27869569	63025520	1.9793	0.5081
LiverC150216DHealthyPO	10	1	40754934	2.0068	0.5049
LiverC150216DHealthyPO	10	40754935	135534747	2.0018	0.5035
LiverC150216DHealthyPO	21	1	12788128	2.0015	0.5036
LiverC150216DHealthyPO	21	12788129	48129895	2.0015	0.5036
