svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
3	5	Prox_4	false	false	false	None	None	3.8736	10.8213			0.2326	0.0000	0	-1	DSB		0	0
4	5	Prox_3	false	false	false	None	None	4.1747	11.2648			0.2324	0.0000	0	-1	DSB		0	0
5	6		false	false	false	None	None	0.2528	1.9848	SLC26A9;RP4-681L3.2	SLC26A9;RP4-681L3.2	0.5264	0.5264	0	0	DSB	DSB	0	0
14	7	Prox_15	false	false	false	None	None	0.4815	3.6216	KCNIP4	KCNIP4	0.1094	0.0000	0	-1	TI_ONLY		1	0
15	7	Prox_14	false	false	false	None	None	0.5174	3.6954	KCNIP4	KCNIP4	0.1094	0.0000	0	-1	TI_ONLY		1	0
21	3		false	false	false	None	None	-0.1126	0.2005			0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
24	0		false	false	false	None	None	-0.0249	0.2841	MGAM	MGAM	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
26	9	Prox_27	false	false	false	None	None	1.8239	6.3058			0.3653	0.0000	0	-1	DSB		0	0
27	9	Prox_26	false	false	false	None	None	1.6191	6.0329			0.3653	0.0000	0	-1	DSB		0	0
30	2		false	false	false	None	None	0.0000	0.2420			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
33	1		false	false	false	None	None	-0.0822	0.2236			0.0000	0.0000	1	0	ISOLATED_BE	ISOLATED_BE	0	0
39	8	Prox_40	false	false	false	None	None	0.2928	3.1417			0.3000	0.0000	0	-1	DSB		0	0
40	8	Prox_39	false	false	false	None	None	-0.4081	3.8281			0.3000	0.0000	0	-1	DSB		0	0
44	4		false	false	false	None	None	-0.2760	0.3824	MYO1D	MYO1D	0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
48	10		false	false	false	None	None	-0.4012	1.2014			0.2161	0.0000	0	-1	ISOLATED_BE		0	0
