Id	SvId	IsStart	Gene	TranscriptId	Canonical	IsUpstream	Disruptive	ReportedDisruption	UndisruptedCopyNumber	RegionType	CodingContext	Biotype	ExonBasePhase	NextSpliceRank	NextSplicePhase	NextSpliceDistance	TotalExonCount
0	0	true	GNB1	ENST00000378609	true	true	false	false	1.5909999999999997	Upstream	5P_UTR	protein_coding	-1	0	-1	-15491	12
1	0	true	TMEM52	ENST00000310991	true	true	false	false	1.5909999999999997	Upstream	Coding	protein_coding	-1	0	-1	-11174	5
2	0	true	C1orf222	ENST00000493964	true	true	false	false	1.5909999999999997	Intronic	Coding	protein_coding	-1	8	2	5293	21
3	0	true	GABRD	ENST00000378585	true	false	false	false	1.5909999999999997	Upstream	Coding	protein_coding	-1	2	2	91380	9
4	1	true	CHD5	ENST00000262450	true	false	false	false	1.769	Upstream	Coding	protein_coding	-1	2	1	7817	42
5	1	true	RPL22	ENST00000234875	true	false	false	false	1.769	Intronic	Coding	protein_coding	-1	4	2	1124	4
6	1	true	RNF207	ENST00000377939	true	true	false	false	1.769	Upstream	5P_UTR	protein_coding	-1	0	-1	-1	18
7	1	true	LINC00337	ENST00000429480	true	true	false	false	1.769	Upstream	NonCoding	antisense	-1	0	-1	-31296	2
8	1	true	HES3	ENST00000377898	true	true	false	false	1.769	Upstream	5P_UTR	protein_coding	-1	0	-1	-50281	4
9	2	true	KLHDC7A	ENST00000400664	true	true	false	false	1.681	Upstream	5P_UTR	protein_coding	-1	0	-1	65090	1
10	2	true	RP1-8B22.1	ENST00000441355	true	true	false	false	1.681	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-27424	1
11	3	true	SRSF4	ENST00000373795	true	true	false	false	1.6800000000000002	Upstream	Coding	protein_coding	-1	0	-1	-84310	6
12	3	true	MECR	ENST00000263702	true	true	false	false	1.6800000000000002	Upstream	Coding	protein_coding	-1	0	-1	-24806	10
13	3	true	PTPRU	ENST00000345512	true	false	false	false	1.6800000000000002	Intronic	Coding	protein_coding	-1	9	1	523	31
14	3	true	AL645859.1	ENST00000408623	true	true	false	false	1.6800000000000002	Upstream	NonCoding	miRNA	-1	0	-1	52703	1
15	4	true	PUM1	ENST00000426105	true	false	false	false	1.574	Intronic	Coding	protein_coding	-1	3	0	9289	22
16	4	true	SNORD103B	ENST00000365237	true	false	false	false	1.574	Upstream	NonCoding	snoRNA	-1	1	-1	88951	1
17	4	true	SNORD85	ENST00000363311	true	false	false	false	1.574	Upstream	NonCoding	snoRNA	-1	1	-1	69917	1
18	4	true	RP11-201O14.2	ENST00000429616	true	true	false	false	1.574	Upstream	NonCoding	processed_pseudogene	-1	0	-1	1419	1
19	5	true	TMEM54	ENST00000373463	true	true	false	false	1.581	Upstream	Coding	protein_coding	-1	0	-1	-60141	6
20	5	true	RNF19B	ENST00000373456	true	true	false	false	1.581	Upstream	Coding	protein_coding	-1	0	-1	13433	9
21	5	true	RP1-117O3.2	ENST00000427524	true	false	false	false	1.581	Intronic	NonCoding	antisense	-1	2	-1	33635	2
22	5	true	ADC	ENST00000294517	true	false	false	false	1.581	Upstream	5P_UTR	protein_coding	-1	2	-1	83988	12
23	6	true	SMIM12	ENST00000521580	true	false	false	false	1.6219999999999999	Upstream	5P_UTR	protein_coding	-1	2	-1	67583	2
24	6	true	DLGAP3	ENST00000373347	true	false	false	false	1.6219999999999999	Intronic	5P_UTR	protein_coding	-1	2	-1	19962	12
25	6	true	SNORD112	ENST00000516919	true	true	false	false	1.6219999999999999	Upstream	NonCoding	snoRNA	-1	0	-1	76107	1
26	7	true	EVA1B	ENST00000270824	true	true	false	false	1.6219999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	-61427	3
27	7	true	STK40	ENST00000373129	true	true	false	false	1.6219999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	-11796	12
28	7	true	LSM10	ENST00000315732	true	true	false	false	1.6219999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	-541	2
29	7	true	RNU4-27P	ENST00000410889	true	true	false	false	1.6219999999999999	Upstream	NonCoding	snRNA	-1	0	-1	12695	1
30	8	true	RP5-1180C18.1	ENST00000413901	true	false	false	false	1.8219999999999998	Upstream	NonCoding	lincRNA	-1	2	-1	91299	4
31	8	true	ZC3H12A	ENST00000373087	true	true	false	false	1.8219999999999998	Upstream	5P_UTR	protein_coding	-1	0	-1	-1	6
32	9	true	SPATA6	ENST00000371847	true	true	false	false	1.822	Upstream	Coding	protein_coding	-1	0	-1	-1593	13
33	9	true	RP11-329A14.2	ENST00000416622	true	true	false	false	1.822	Upstream	NonCoding	processed_pseudogene	-1	0	-1	34964	1
34	10	true	FAF1	ENST00000396153	true	false	false	false	1.656	Intronic	Coding	protein_coding	-1	10	0	6517	19
35	10	true	Y_RNA	ENST00000365270	true	false	false	false	1.656	Upstream	NonCoding	misc_RNA	-1	1	-1	91471	1
36	11	true	SCP2	ENST00000371514	true	false	false	false	1.655	Intronic	Coding	protein_coding	-1	14	0	588	16
37	11	true	RP4-631H13.5	ENST00000427081	true	true	false	false	1.655	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-44750	1
38	11	true	RP11-334A14.2	ENST00000414168	true	true	false	false	1.655	Upstream	NonCoding	processed_pseudogene	-1	0	-1	31707	1
39	11	true	PODN	ENST00000312553	true	false	false	false	1.655	Upstream	Coding	protein_coding	-1	2	2	31472	11
40	11	true	RP11-334A14.8	ENST00000439621	true	false	false	false	1.655	Upstream	NonCoding	antisense	-1	2	-1	80067	2
41	12	true	TM2D1	ENST00000371180	true	false	false	false	1.44	Intronic	3P_UTR	protein_coding	-1	7	-2	978	7
42	12	true	INADL	ENST00000371158	true	true	false	false	1.44	Upstream	5P_UTR	protein_coding	-1	0	-1	28134	43
43	13	true	TM2D1	ENST00000371180	true	true	false	false	1.4409999999999998	Upstream	Coding	protein_coding	-1	0	-1	-78905	7
44	13	true	RP11-430G17.3	ENST00000605725	true	true	false	false	1.4409999999999998	Upstream	NonCoding	lincRNA	-1	0	-1	-1	1
45	13	true	INADL	ENST00000371158	true	false	false	false	1.4409999999999998	Intronic	Coding	protein_coding	-1	15	0	1616	43
46	13	true	RNU6-1177P	ENST00000391058	true	false	false	false	1.4409999999999998	Upstream	NonCoding	snRNA	-1	1	-1	31170	1
47	14	true	ZZZ3	ENST00000370801	true	false	false	false	1.572	Exonic	Coding	protein_coding	2	6	2	48660	15
48	14	true	RN7SL370P	ENST00000470869	true	true	false	false	1.572	Upstream	NonCoding	misc_RNA	-1	0	-1	18446	1
49	15	true	GIPC2	ENST00000370759	true	false	false	false	1.566	Intronic	Coding	protein_coding	-1	2	0	1358	6
50	15	true	RP11-386I14.4	ENST00000608684	true	true	false	false	1.566	Upstream	NonCoding	antisense	-1	0	-1	-35169	1
51	15	true	RP11-386I14.2	ENST00000265259	true	true	false	false	1.566	Upstream	NonCoding	processed_pseudogene	-1	0	-1	9766	1
52	15	true	RP11-386I14.3	ENST00000448345	true	false	false	false	1.566	Upstream	NonCoding	processed_pseudogene	-1	1	-1	12182	1
53	16	true	AKNAD1	ENST00000370001	true	false	false	false	1.48	Upstream	5P_UTR	protein_coding	-1	2	-1	129284	16
54	16	true	CLCC1	ENST00000369971	true	false	false	false	1.48	Upstream	5P_UTR	protein_coding	-1	2	-1	22889	12
55	16	true	WDR47	ENST00000400794	true	false	false	false	1.48	Intronic	Coding	protein_coding	-1	11	2	2927	15
56	16	true	RP11-20O24.4	ENST00000538262	true	true	false	false	1.48	Upstream	NonCoding	processed_pseudogene	-1	0	-1	56677	1
57	16	true	RP11-20O24.1	ENST00000434429	true	true	false	false	1.48	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-5904	1
58	16	true	RANP5	ENST00000427731	true	true	false	false	1.48	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-43689	1
59	17	true	RNU7-122P	ENST00000459200	true	true	false	false	1.483	Upstream	NonCoding	snRNA	-1	0	-1	45777	1
60	17	true	SARS	ENST00000234677	true	false	false	false	1.483	Intronic	Coding	protein_coding	-1	7	0	831	11
