SampleId	Chromosome	Start	End	CopyNumber	BAF
Healthy14CLONE13	11	1	53144204	2.0032	0.5077
Healthy14CLONE13	11	53144205	135006516	1.9949	0.5117
Healthy14CLONE13	22	1	14499999	1.9589	0.5113
Healthy14CLONE13	22	14500000	51304566	1.9589	0.5113
Healthy14CLONE13	12	1	36356693	1.9940	0.5087
Healthy14CLONE13	12	36356694	120729549	2.0041	0.5083
Healthy14CLONE13	12	120729550	120729587	1.2108	0.8138
Healthy14CLONE13	12	120729588	133851895	1.9445	0.5231
Healthy14CLONE13	13	1	17499999	1.9983	0.5050
Healthy14CLONE13	13	17500000	115169878	1.9983	0.5050
Healthy14CLONE13	14	1	17499999	1.9934	0.5057
Healthy14CLONE13	14	17500000	107349540	1.9934	0.5057
Healthy14CLONE13	15	1	18499999	1.9890	0.5068
Healthy14CLONE13	15	18500000	102531392	1.9890	0.5068
Healthy14CLONE13	16	1	36835800	1.9473	0.5240
Healthy14CLONE13	16	36835801	90354753	1.9636	0.5159
Healthy14CLONE13	17	1	23763005	1.9487	0.5182
Healthy14CLONE13	17	23763006	31149418	1.9691	0.5082
Healthy14CLONE13	17	31149419	31149995	10.0850	0.9056
Healthy14CLONE13	17	31149996	81195210	1.9658	0.5157
Healthy14CLONE13	18	1	16960897	1.9902	0.5034
Healthy14CLONE13	18	16960898	78077248	1.9928	0.5060
Healthy14CLONE13	19	1	26181781	1.9004	0.5270
Healthy14CLONE13	19	26181782	59128983	1.9258	0.5244
Healthy14CLONE13	1	1	24486958	1.9685	0.5199
Healthy14CLONE13	1	24486959	24690785	2.4738	0.6231
Healthy14CLONE13	1	24690786	121355700	2.0027	0.5066
Healthy14CLONE13	1	121355701	123035433	2.9748	0.6678
Healthy14CLONE13	1	123035434	156186655	1.9764	0.5178
Healthy14CLONE13	1	156186656	156186656	48.5913	0.9798
Healthy14CLONE13	1	156186657	249250621	2.0034	0.5100
Healthy14CLONE13	2	1	93826170	1.9892	0.5113
Healthy14CLONE13	2	93826171	243199373	2.0004	0.5070
Healthy14CLONE13	3	1	92004853	1.9940	0.5074
Healthy14CLONE13	3	92004854	198022430	2.0065	0.5053
Healthy14CLONE13	4	1	51160116	1.9953	0.5058
Healthy14CLONE13	4	51160117	191154276	2.0047	0.5068
Healthy14CLONE13	5	1	47905640	1.9864	0.5090
Healthy14CLONE13	5	47905641	180915260	2.0022	0.5081
Healthy14CLONE13	6	1	60330165	1.9931	0.5077
Healthy14CLONE13	6	60330166	119558451	2.0037	0.5063
Healthy14CLONE13	6	119558452	171115067	2.0014	0.5093
Healthy14CLONE13	7	1	59554330	1.9925	0.5091
Healthy14CLONE13	7	59554331	159138663	1.9883	0.5121
Healthy14CLONE13	8	1	45338886	1.9793	0.5106
Healthy14CLONE13	8	45338887	146364022	1.9977	0.5065
Healthy14CLONE13	X	1	60132011	1.0014	1.0000
Healthy14CLONE13	X	60132012	155270560	1.0019	1.0000
Healthy14CLONE13	9	1	48867678	2.0013	0.5047
Healthy14CLONE13	9	48867679	141213431	1.9871	0.5100
Healthy14CLONE13	Y	1	11604552	1.0041	1.0000
Healthy14CLONE13	Y	11604553	59373566	0.9924	1.0000
Healthy14CLONE13	20	1	26188000	1.9951	0.5035
Healthy14CLONE13	20	26188001	26190511	16.3552	0.9394
Healthy14CLONE13	20	26190512	27869568	2.1925	0.5439
Healthy14CLONE13	20	27869569	63025520	1.9683	0.5117
Healthy14CLONE13	10	1	40754934	1.9798	0.5084
Healthy14CLONE13	10	40754935	135534747	1.9924	0.5066
Healthy14CLONE13	21	1	12788128	1.9814	0.5064
Healthy14CLONE13	21	12788129	48129895	1.9814	0.5064
