SampleId	Chromosome	Start	End	CopyNumber	BAF
ste01166a	11	1	53144204	2.0112	0.5080
ste01166a	11	53144205	133255739	2.0092	0.5044
ste01166a	11	133255740	133255758	3.8499	0.7414
ste01166a	11	133255759	135006516	1.9896	0.5026
ste01166a	22	1	14499999	1.9732	0.5061
ste01166a	22	14500000	51304566	1.9732	0.5061
ste01166a	12	1	27964873	1.9940	0.5073
ste01166a	12	27964874	36356693	2.0025	0.5197
ste01166a	12	36356694	133851895	1.9973	0.5046
ste01166a	13	1	17499999	1.9878	0.5056
ste01166a	13	17500000	100420466	1.9878	0.5056
ste01166a	13	100420467	115169878	1.9906	0.5033
ste01166a	14	1	17499999	2.0068	0.5032
ste01166a	14	17500000	23202401	2.0068	0.5032
ste01166a	14	23202402	55539813	1.9950	0.5029
ste01166a	14	55539814	107349540	2.0013	0.5050
ste01166a	15	1	18499999	1.9960	0.5060
ste01166a	15	18500000	102531392	1.9960	0.5060
ste01166a	16	1	33957539	1.9569	0.5134
ste01166a	16	33957540	36835800	2.0149	0.5066
ste01166a	16	36835801	90354753	1.9765	0.5068
ste01166a	17	1	23763005	1.9564	0.5110
ste01166a	17	23763006	81195210	1.9804	0.5080
ste01166a	18	1	16960897	1.9810	0.5048
ste01166a	18	16960898	78077248	1.9949	0.5039
ste01166a	19	1	26181781	1.9011	0.5304
ste01166a	19	26181782	59128983	1.9363	0.5164
ste01166a	1	1	123035433	2.0042	0.5055
ste01166a	1	123035434	249250621	2.0051	0.5070
ste01166a	2	1	93826170	1.9951	0.5038
ste01166a	2	93826171	133013182	1.9953	0.5030
ste01166a	2	133013183	133025158	1.8847	0.5274
ste01166a	2	133025159	243199373	1.9995	0.5029
ste01166a	3	1	92004853	1.9998	0.5047
ste01166a	3	92004854	198022430	2.0058	0.5041
ste01166a	4	1	51160116	1.9946	0.5058
ste01166a	4	51160117	191154276	1.9960	0.5038
ste01166a	5	1	47905640	1.9874	0.5077
ste01166a	5	47905641	180915260	2.0038	0.5044
ste01166a	6	1	37897517	1.9935	0.5042
ste01166a	6	37897518	37907003	2.8031	0.6474
ste01166a	6	37907004	60330165	2.0266	0.5077
ste01166a	6	60330166	156200370	1.9996	0.5030
ste01166a	6	156200371	171115067	1.9976	0.5062
ste01166a	7	1	59554330	1.9960	0.5047
ste01166a	7	59554331	80962942	1.9559	0.5184
ste01166a	7	80962943	159138663	1.9930	0.5060
ste01166a	8	1	45338886	1.9899	0.5071
ste01166a	8	45338887	85521932	1.9943	0.5036
ste01166a	8	85521933	85521971	0.9936	1.0000
ste01166a	8	85521972	146364022	2.0047	0.5046
ste01166a	X	1	60132011	1.0017	1.0000
ste01166a	X	60132012	155270560	0.9998	1.0000
ste01166a	9	1	48867678	2.0019	0.5035
ste01166a	9	48867679	101468408	2.0030	0.5013
ste01166a	9	101468409	108582184	1.9932	0.5028
ste01166a	9	108582185	108582208	14.8353	0.9337
ste01166a	9	108582209	141213431	1.9934	0.5068
ste01166a	Y	1	10035449	1.0091	1.0000
ste01166a	Y	10035450	11604552	2.7893	1.0000
ste01166a	Y	11604553	59373566	0.9974	1.0000
ste01166a	20	1	27869568	2.0151	0.5035
ste01166a	20	27869569	63025520	1.9913	0.5041
ste01166a	10	1	40754934	1.9708	0.5074
ste01166a	10	40754935	135534747	2.0052	0.5052
ste01166a	21	1	9825757	1.9893	0.5064
ste01166a	21	9825758	9826226	1.9893	0.5064
ste01166a	21	9826227	9827564	1.9893	0.5064
ste01166a	21	9827565	9827579	1.9893	0.5064
ste01166a	21	9827580	9827582	1.9893	0.5064
ste01166a	21	9827583	12788128	1.9893	0.5064
ste01166a	21	12788129	48129895	1.9893	0.5064
