clusterId	chainId	chainIndex	chainCount	lowerBreakendId	upperBreakendId	lowerBreakendIsStart	upperBreakendIsStart	chromosome	arm	assembled	traversedSVCount	length	ploidy	ploidyUncertainty	pseudogeneInfo
10	0	0	2	248	247	true	false	11	Q	false	0	545	1.0362	0.1426	
11	0	0	2	332	333	true	true	22	Q	false	0	1551058	0.9993	0.0767	
20	0	0	2	272	273	true	true	12	Q	false	0	247	0.6804	0.2924	
40	0	0	4	282	73	true	true	2	Q	false	0	12264869	1.0126	0.1121	
40	0	1	4	74	73	true	false	2	Q	false	0	511	1.0126	0.1121	
40	0	2	4	74	75	false	false	2	Q	false	0	35421	1.0126	0.1121	
41	0	0	2	285	298	true	true	16	P_Q	false	0	68894589	0.9208	0.4174	
47	0	0	2	292	293	false	false	16	Q	false	0	76	1.0252	0.1871	
82	0	0	2	52	49	true	false	2	P	false	0	5497347	0.9802	0.098	
82	1	0	2	27	51	true	true	2	P	false	0	65368237	0.9802	0.1357	
92	0	0	17	33	34	false	true	2	P	false	0	1306898	0.9735	0.0562	
92	0	1	17	33	18	true	false	2	P	false	0	872369	0.9735	0.0562	
92	0	2	17	18	31	true	true	2	P	false	0	3733383	0.9735	0.0562	
92	0	3	17	31	32	false	false	2	P	false	0	6712182	0.9735	0.0562	
92	0	4	17	32	37	true	true	2	P	false	0	10668	0.9735	0.0562	
92	0	5	17	37	46	false	true	2	P	false	0	3448	0.9735	0.0562	
92	0	6	17	45	46	false	false	2	P	false	0	21615	0.9735	0.0562	
92	0	7	17	42	45	true	true	2	P	false	0	2002641	0.9735	0.0562	
92	0	8	17	42	44	false	true	2	P	false	0	4911800	0.9735	0.0562	
92	0	9	17	43	44	false	false	2	P	false	0	450812	0.9735	0.0562	
92	0	10	17	24	43	false	true	2	P	false	3	18688433	0.9735	0.0562	
92	0	11	17	22	24	true	true	2	P	false	2	2322625	0.9735	0.0562	
92	0	12	17	22	23	false	false	2	P	false	0	3947974	0.9735	0.0562	
92	0	13	17	23	19	true	false	2	P	false	0	7135	0.9735	0.0562	
92	0	14	17	16	19	false	true	2	P	false	0	399	0.9735	0.0562	
92	0	15	17	16	24	true	true	2	P	false	2	2368165	0.9735	0.0562	
92	0	16	17	24	38	false	false	2	P	false	3	41711781	0.9735	0.0562	
98	0	0	2	41	40	true	false	2	P	false	0	147	0.9381	0.3092	
45	0	0	2	251	325	true	true	1	Q	false	0	422	84.8737	9.3152	
45	1	0	2	308	309	false	false	19	Q	false	0	220	1.351	0.5668	
45	2	0	2	289	137	true	true	2	Q	false	0	22820	0.0577	0.199	
128	0	0	2	90	89	true	false	3	P	false	0	4063737	1.1717	0.2966	
272	0	0	2	329	330	false	false	20	Q	false	0	25597	1.139	0.1251	
272	1	0	2	326	327	false	true	20	Q	false	0	10511	1.139	0.2108	
140	0	0	2	95	94	true	false	3	Q	false	0	59710	0.3134	0.1199	
151	0	0	2	106	107	false	true	3	Q	false	0	176467	0.962	0.1024	
199	0	0	2	160	161	true	true	6	Q	false	0	1175	1.1668	0.3948	
205	0	0	2	168	167	true	false	6	Q	false	0	770517	1.1441	0.3286	
210	0	0	2	176	173	true	false	6	Q	false	0	9656	0.9877	0.0842	
235	0	0	2	202	205	true	true	8	Q	false	0	225	1.0886	0.1601	
239	0	0	2	208	207	true	false	8	Q	false	0	28766	1.023	0.3424	
268	0	0	3	315	318	false	true	20	P	false	0	260963	1.0005	0.0661	
268	0	1	3	318	320	false	true	20	P	false	0	9265	1.0005	0.0661	
268	1	0	2	317	319	false	true	20	P	false	0	38304	1.0005	0.0622	
280	0	0	2	237	236	true	false	10	Q	false	0	3862	0.7585	0.1316	
