SampleId	Chromosome	Start	End	CopyNumber	BAF
c080216DCLONE3	11	1	53144204	2.0103	0.5094
c080216DCLONE3	11	53144205	135006516	2.0017	0.5091
c080216DCLONE3	22	1	14499999	1.9944	0.5083
c080216DCLONE3	22	14500000	51304566	1.9944	0.5083
c080216DCLONE3	12	1	36356693	2.0028	0.5086
c080216DCLONE3	12	36356694	133851895	2.0104	0.5083
c080216DCLONE3	13	1	17499999	1.9885	0.5108
c080216DCLONE3	13	17500000	115169878	1.9885	0.5108
c080216DCLONE3	14	1	17499999	2.0018	0.5088
c080216DCLONE3	14	17500000	107349540	2.0018	0.5088
c080216DCLONE3	15	1	18499999	2.0127	0.5103
c080216DCLONE3	15	18500000	102531392	2.0127	0.5103
c080216DCLONE3	16	1	36835800	1.9726	0.5077
c080216DCLONE3	16	36835801	90354753	1.9846	0.5106
c080216DCLONE3	17	1	23763005	1.9717	0.5104
c080216DCLONE3	17	23763006	81195210	2.0110	0.5073
c080216DCLONE3	18	1	16960897	2.0093	0.5104
c080216DCLONE3	18	16960898	19027647	2.0115	0.5035
c080216DCLONE3	18	19027648	19027681	1.2493	0.7803
c080216DCLONE3	18	19027682	78077248	1.9943	0.5112
c080216DCLONE3	19	1	26181781	1.9341	0.5204
c080216DCLONE3	19	26181782	42788923	1.9434	0.5233
c080216DCLONE3	19	42788924	42790921	1.7660	0.5315
c080216DCLONE3	19	42790922	42793240	2.0936	0.5516
c080216DCLONE3	19	42793241	42793330	1.7242	0.5444
c080216DCLONE3	19	42793331	42793558	2.0763	0.5479
c080216DCLONE3	19	42793559	42793998	1.6471	0.5699
c080216DCLONE3	19	42793999	42794103	2.1305	0.5594
c080216DCLONE3	19	42794104	42794383	1.7129	0.5480
c080216DCLONE3	19	42794384	42797433	2.1436	0.5621
c080216DCLONE3	19	42797434	42797743	1.6260	0.5773
c080216DCLONE3	19	42797744	42797989	1.9300	0.5136
c080216DCLONE3	19	42797990	42798089	1.3854	0.6775
c080216DCLONE3	19	42798090	42798241	1.9493	0.5185
c080216DCLONE3	19	42798242	42798323	1.6215	0.5789
c080216DCLONE3	19	42798324	42798886	1.9475	0.5180
c080216DCLONE3	19	42798887	42798973	1.5315	0.6129
c080216DCLONE3	19	42798974	59128983	1.9453	0.5175
c080216DCLONE3	1	1	32246719	2.0027	0.5071
c080216DCLONE3	1	32246720	32254284	1.0247	0.9615
c080216DCLONE3	1	32254285	123035433	2.0063	0.5089
c080216DCLONE3	1	123035434	249250621	2.0103	0.5105
c080216DCLONE3	2	1	93826170	1.9911	0.5129
c080216DCLONE3	2	93826171	243199373	2.0098	0.5093
c080216DCLONE3	3	1	92004853	2.0040	0.5094
c080216DCLONE3	3	92004854	198022430	2.0090	0.5114
c080216DCLONE3	4	1	51160116	1.9908	0.5130
c080216DCLONE3	4	51160117	191154276	1.9885	0.5116
c080216DCLONE3	5	1	28836847	1.9488	0.5150
c080216DCLONE3	5	28836848	28836895	1.2155	0.7775
c080216DCLONE3	5	28836896	47905640	2.0009	0.5014
c080216DCLONE3	5	47905641	180915260	2.0046	0.5110
c080216DCLONE3	6	1	60330165	2.0191	0.5096
c080216DCLONE3	6	60330166	171115067	1.9958	0.5091
c080216DCLONE3	7	1	59554330	2.0033	0.5115
c080216DCLONE3	7	59554331	80962938	1.9574	0.5196
c080216DCLONE3	7	80962939	159138663	1.9887	0.5120
c080216DCLONE3	8	1	45338886	1.9925	0.5132
c080216DCLONE3	8	45338887	146364022	1.9896	0.5113
c080216DCLONE3	X	1	60132011	1.9439	0.5142
c080216DCLONE3	X	60132012	155270560	1.9106	0.5258
c080216DCLONE3	9	1	48867678	1.9892	0.5133
c080216DCLONE3	9	48867679	141213431	2.0030	0.5089
c080216DCLONE3	20	1	27869568	2.0226	0.5110
c080216DCLONE3	20	27869569	63025520	1.9972	0.5101
c080216DCLONE3	10	1	40754934	1.9933	0.5094
c080216DCLONE3	10	40754935	135534747	2.0092	0.5120
c080216DCLONE3	21	1	9827563	1.9890	0.5103
c080216DCLONE3	21	9827564	9827580	1.9890	0.5103
c080216DCLONE3	21	9827581	12788128	1.9890	0.5103
c080216DCLONE3	21	12788129	48129895	1.9890	0.5103
