SampleID	SV_complex	ResolvedType	ClusterId	SvId	CHROM	PosStart	PosEnd	sv_len	SVLength	Length	db_range	HOMLEN
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	3	1	2	3896762	3896868	106	1Kbp	1e02_1e03_bp	3	2
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	4	2	3	51446558	51446612	54	100bp	0e00_1e02_bp	2	0
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	5	3	3	169340423	169341400	977	1Kbp	1e02_1e03_bp	3	2
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	6	5	5	60961918	60962008	90	100bp	0e00_1e02_bp	2	0
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DUP	7	7	7	81373275	81373366	91	100bp	0e00_1e02_bp	2	0
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	10	8	9	33831296	33831339	43	100bp	0e00_1e02_bp	2	0
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	2	12	12	3740005	3740049	44	100bp	0e00_1e02_bp	2	1
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	8	15	18	4299177	4299326	149	1Kbp	1e02_1e03_bp	3	1
5FU-PATIENT14-LIVN-CLONE11	SIMPLE	DEL	9	17	19	40527454	40527531	77	100bp	0e00_1e02_bp	2	1
5FU-PATIENT14-LIVN-CLONE11	COMPLEX	COMPLEX	0	0	0	0	0	0	0	0	0	0
