svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
1	283	Prox_2	false	false	false	None	None	0.2286	1.9086	ZNF684	ZNF684	0.5767	0.5774	0	0	DSB	DSB	0	0
2	284	Prox_1	false	false	false	None	None	0.5515	1.5491	ZNF684	ZNF684	0.5774	0.5785	0	0	DSB	DSB	0	0
3	61		false	false	false	None	None	0.0160	1.7467	AGBL4;AGBL4-IT1	AGBL4;AGBL4-IT1	0.0935	0.0935	0	0	SIMPLE_DUP	SIMPLE_DUP	0	0
4	62		false	false	false	None	None	-0.1149	1.5098	DPYD	DPYD	0.5383	0.5383	0	0	DSB	DSB	0	0
5	63		false	false	false	None	None	0.7912	1.2888	NOTCH2	NOTCH2	0.5579	0.0000	0	-1	ISOLATED_BE		0	0
6	64		false	false	false	None	None	-0.1039	1.4935	PDE4DIP;RNU2-38P	PDE4DIP;RNU2-38P	0.5749	0.5749	0	0	DSB	DSB	0	0
7	65		false	false	false	None	None	0.7129	1.1976	PBX1	PBX1	0.6766	0.6371	0	1	ISOLATED_BE	ISOLATED_BE	0	0
8	66		false	false	false	None	None	0.8707	1.4513	ADCY10	ADCY10	0.7153	0.7129	0	1	ISOLATED_BE	ISOLATED_BE	0	0
9	67		false	false	false	None	None	0.8846	1.2239	RFWD2	RFWD2	0.2527	0.3479	0	1	ISOLATED_BE	ISOLATED_BE	0	0
10	68		false	false	false	None	None	0.7827	1.1520			0.2677	0.2774	0	1	ISOLATED_BE	ISOLATED_BE	0	0
11	69		false	false	false	None	None	0.7765	1.1635			0.2802	0.2914	0	1	ISOLATED_BE	ISOLATED_BE	0	0
12	71		false	false	false	None	None	0.8513	1.1366	ESRRG	ESRRG	0.1162	0.1124	0	1	ISOLATED_BE	ISOLATED_BE	0	0
13	70		false	false	false	None	None	0.8753	1.1891	USH2A	USH2A	0.1550	0.4846	0	1	ISOLATED_BE	ISOLATED_BE	0	0
14	72		false	false	false	None	None	-0.1061	1.7169			0.6194	0.6194	0	0	SIMPLE_DUP	SIMPLE_DUP	0	0
15	73		false	false	false	None	None	0.7376	1.5349	RP11-978I15.10	RP11-978I15.10	0.2023	0.2007	0	0	DSB	DSB	0	0
16	92	Prox_22	false	false	false	None	None	0.3653	1.3381			0.0772	0.0857	0	1	ISOLATED_BE	ISOLATED_BE	0	1
17	74		false	false	false	None	None	0.7556	1.3737	hsa-mir-7515	hsa-mir-7515	0.0734	0.0913	0	1	ISOLATED_BE	ISOLATED_BE	0	0
