clusterId	chainId	chainIndex	chainCount	lowerBreakendId	upperBreakendId	lowerBreakendIsStart	upperBreakendIsStart	chromosome	arm	assembled	traversedSVCount	length	ploidy	ploidyUncertainty	pseudogeneInfo
2	0	0	2	38	37	true	false	11	Q	false	0	320	1.0974	0.2959	
11	0	0	2	4	53	true	true	3	Q	false	0	8510918	1.0569	0.0749	
18	0	0	2	10	68	true	true	1	P	false	0	365	47.0453	19.7826	
22	0	0	2	18	62	false	true	5	Q	false	0	173	0.7045	0.3568	
22	1	0	3	1	66	true	true	2	Q	false	0	995	0.0599	3.2525	
22	1	1	3	65	66	false	false	19	Q	false	0	443	0.0599	3.2525	
22	2	0	2	1	66	true	true	2	Q	false	0	995	16.5548	3.2525	
20	0	0	2	15	13	true	true	2	P	false	0	110119	1.245	0.1251	
20	1	0	2	14	16	true	true	4	Q	false	0	76348	1.245	0.6864	
27	0	0	3	7	9	true	true	4	Q	false	0	74	1.1649	0.2022	
27	0	1	3	7	8	false	false	4	Q	false	0	39	1.1649	0.2022	
33	0	0	2	24	23	true	false	6	Q	false	0	530766	1.022	0.2959	
36	0	0	2	29	28	true	false	7	P_Q	false	0	92067905	0.9654	0.1231	
