svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
0	14		false	false	false	None	None	0.2724	0.6976	CDK11B;RP11-345P4.10	CDK11B;RP11-345P4.10	0.7713	0.0000	0	-1	ISOLATED_BE		0	0
1	11		false	false	false	None	None	0.3950	0.8610			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
2	2		false	false	false	None	None	0.3761	0.8379			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
4	15		false	false	false	None	None	0.6120	1.2900			0.2616	0.0000	0	-1	ISOLATED_BE		0	0
5	16		false	false	false	None	None	0.2458	2.0297	SEMA5A	SEMA5A	0.1095	0.1095	0	0	DSB	DSB	0	0
6	17		false	false	false	None	None	0.5728	1.2432			0.1712	0.0000	0	-1	ISOLATED_BE		0	0
7	10		false	false	false	None	None	0.1584	0.5736			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
8	3		false	false	false	None	None	0.4075	0.8665			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
9	12		false	false	false	None	None	0.3977	0.8543			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
10	6		false	false	false	None	None	0.1916	0.6024	RP4-604G5.3	RP4-604G5.3	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
11	19		false	false	false	None	None	0.2133	0.6287	COL26A1;RP5-1106H14.1	COL26A1;RP5-1106H14.1	0.5722	0.0000	0	-1	ISOLATED_BE		0	0
13	20		false	false	false	None	None	0.2315	0.6505			0.6049	0.0000	0	-1	ISOLATED_BE		0	0
14	7		false	false	false	None	None	0.3303	0.8097	Y_RNA;U3	Y_RNA;U3	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
15	8		false	false	false	None	None	0.3249	0.8031	MLLT10	MLLT10	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
16	0		false	false	false	None	None	0.2773	0.7067	AP2A2;AP006477.1	AP2A2;AP006477.1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
17	4		false	false	false	None	None	0.2933	0.8247			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
18	13		false	false	false	None	None	-0.0428	0.3548	LRP5	LRP5	0.7598	0.0000	0	-1	ISOLATED_BE		0	0
19	1		false	false	false	None	None	0.3630	0.8590			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
20	5		false	false	false	None	None	0.3378	0.8282			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
21	18		false	false	false	None	None	0.1620	0.5500	MMP25;RP11-473M20.7	MMP25;RP11-473M20.7	0.7925	0.0000	0	-1	ISOLATED_BE		0	0
22	9		false	false	false	None	None	-0.0415	0.2308	PRKAG2	PRKAG2	0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
