SampleId	Chromosome	Start	End	CopyNumber	BAF
5FU-PATIENT13-COLN-CLONE1	11	1	53144204	1.9990	0.5117
5FU-PATIENT13-COLN-CLONE1	11	53144205	135006516	2.0013	0.5091
5FU-PATIENT13-COLN-CLONE1	22	1	14499999	2.0037	0.5069
5FU-PATIENT13-COLN-CLONE1	22	14500000	51304566	2.0037	0.5069
5FU-PATIENT13-COLN-CLONE1	12	1	36356693	2.0023	0.5076
5FU-PATIENT13-COLN-CLONE1	12	36356694	133851895	1.9978	0.5084
5FU-PATIENT13-COLN-CLONE1	13	1	17499999	1.9731	0.5135
5FU-PATIENT13-COLN-CLONE1	13	17500000	95170374	1.9731	0.5135
5FU-PATIENT13-COLN-CLONE1	13	95170375	95170412	1.5385	0.6239
5FU-PATIENT13-COLN-CLONE1	13	95170413	115169878	1.9938	0.5053
5FU-PATIENT13-COLN-CLONE1	14	1	17499999	1.9980	0.5118
5FU-PATIENT13-COLN-CLONE1	14	17500000	107349540	1.9980	0.5118
5FU-PATIENT13-COLN-CLONE1	15	1	18499999	2.0048	0.5106
5FU-PATIENT13-COLN-CLONE1	15	18500000	102531392	2.0048	0.5106
5FU-PATIENT13-COLN-CLONE1	16	1	36835800	1.9743	0.5111
5FU-PATIENT13-COLN-CLONE1	16	36835801	90354753	1.9783	0.5117
5FU-PATIENT13-COLN-CLONE1	17	1	23763005	1.9861	0.5108
5FU-PATIENT13-COLN-CLONE1	17	23763006	81195210	2.0085	0.5062
5FU-PATIENT13-COLN-CLONE1	18	1	16960897	1.9760	0.5141
5FU-PATIENT13-COLN-CLONE1	18	16960898	78077248	1.9747	0.5126
5FU-PATIENT13-COLN-CLONE1	19	1	26181781	1.9458	0.5144
5FU-PATIENT13-COLN-CLONE1	19	26181782	59128983	1.9569	0.5146
5FU-PATIENT13-COLN-CLONE1	1	1	95279096	2.0104	0.5092
5FU-PATIENT13-COLN-CLONE1	1	95279097	95279134	1.1568	0.8529
5FU-PATIENT13-COLN-CLONE1	1	95279135	123035433	1.9958	0.5101
5FU-PATIENT13-COLN-CLONE1	1	123035434	249250621	2.0081	0.5096
5FU-PATIENT13-COLN-CLONE1	2	1	93826170	1.9910	0.5116
5FU-PATIENT13-COLN-CLONE1	2	93826171	243199373	2.0001	0.5087
5FU-PATIENT13-COLN-CLONE1	3	1	92004853	1.9931	0.5107
5FU-PATIENT13-COLN-CLONE1	3	92004854	198022430	1.9989	0.5093
5FU-PATIENT13-COLN-CLONE1	4	1	51160116	1.9792	0.5123
5FU-PATIENT13-COLN-CLONE1	4	51160117	191154276	1.9823	0.5112
5FU-PATIENT13-COLN-CLONE1	5	1	1778134	2.0359	0.5111
5FU-PATIENT13-COLN-CLONE1	5	1778135	1807065	1.0006	1.0201
5FU-PATIENT13-COLN-CLONE1	5	1807066	47905640	1.9568	0.5132
5FU-PATIENT13-COLN-CLONE1	5	47905641	180915260	1.9986	0.5076
5FU-PATIENT13-COLN-CLONE1	6	1	60330165	2.0128	0.5077
5FU-PATIENT13-COLN-CLONE1	6	60330166	171115067	1.9916	0.5092
5FU-PATIENT13-COLN-CLONE1	7	1	59554330	1.9905	0.5093
5FU-PATIENT13-COLN-CLONE1	7	59554331	159138663	1.9828	0.5097
5FU-PATIENT13-COLN-CLONE1	8	1	45338886	1.9843	0.5128
5FU-PATIENT13-COLN-CLONE1	8	45338887	123593088	1.9782	0.5109
5FU-PATIENT13-COLN-CLONE1	8	123593089	123593126	1.2895	0.7502
5FU-PATIENT13-COLN-CLONE1	8	123593127	146364022	2.0086	0.5076
5FU-PATIENT13-COLN-CLONE1	X	1	60132011	1.9704	0.5135
5FU-PATIENT13-COLN-CLONE1	X	60132012	155270560	1.9373	0.5182
5FU-PATIENT13-COLN-CLONE1	9	1	48867678	1.9885	0.5114
5FU-PATIENT13-COLN-CLONE1	9	48867679	141213431	2.0081	0.5082
5FU-PATIENT13-COLN-CLONE1	20	1	27869568	2.0109	0.5056
5FU-PATIENT13-COLN-CLONE1	20	27869569	63025520	1.9992	0.5118
5FU-PATIENT13-COLN-CLONE1	10	1	40754934	1.9775	0.5098
5FU-PATIENT13-COLN-CLONE1	10	40754935	135534747	2.0047	0.5101
5FU-PATIENT13-COLN-CLONE1	21	1	12788128	1.9858	0.5138
5FU-PATIENT13-COLN-CLONE1	21	12788129	48129895	1.9858	0.5138
