SampleId	ClusterId	Gene	Transcript	Chromosome	AnnotationType	ExonRank	ExonStart	ExonEnd
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	1	42772689	42772746
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	1	42772689	42772746
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	2	42775926	42778729
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	2	42775926	42778729
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	3	42790922	42791072
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	4	42791158	42791392
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	4	42791158	42791392
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	5	42791472	42791601
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	5	42791472	42791601
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	6	42791697	42791879
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	6	42791697	42791879
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	7	42791962	42792127
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	7	42791962	42792127
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	8	42793040	42793242
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	8	42793040	42793242
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	9	42793331	42793558
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	10	42793999	42794103
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	11	42794384	42795618
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	12	42795710	42795897
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	12	42795710	42795897
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	13	42796238	42796359
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	13	42796238	42796359
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	14	42796452	42796618
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	14	42796452	42796618
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	15	42796721	42797011
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	15	42796721	42797011
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	16	42797111	42797433
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	16	42797111	42797433
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	17	42797744	42797988
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	18	42798090	42798241
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	18	42798090	42798241
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	19	42798324	42798456
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	20	42798756	42798887
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	20	42798756	42798887
c080216DCLONE3	4	CIC	ENST00000572681	19	PSEUDO	21	42798976	42799948
c080216DCLONE3	4	CIC	ENST00000572681	19	EXON_LOST	21	42798976	42799948
