SampleId	Chromosome	Start	End	CopyNumber	BAF
5FU-PATIENT6-LivN-CLONE5	11	1	53144204	2.0228	0.5131
5FU-PATIENT6-LivN-CLONE5	11	53144205	135006516	2.0119	0.5093
5FU-PATIENT6-LivN-CLONE5	22	1	14499999	2.0213	0.5125
5FU-PATIENT6-LivN-CLONE5	22	14500000	51304566	2.0213	0.5125
5FU-PATIENT6-LivN-CLONE5	12	1	36356693	2.0175	0.5119
5FU-PATIENT6-LivN-CLONE5	12	36356694	133851895	2.0199	0.5105
5FU-PATIENT6-LivN-CLONE5	13	1	17499999	2.0031	0.5092
5FU-PATIENT6-LivN-CLONE5	13	17500000	115169878	2.0031	0.5092
5FU-PATIENT6-LivN-CLONE5	14	1	17499999	2.0180	0.5095
5FU-PATIENT6-LivN-CLONE5	14	17500000	107349540	2.0180	0.5095
5FU-PATIENT6-LivN-CLONE5	15	1	18499999	2.0261	0.5104
5FU-PATIENT6-LivN-CLONE5	15	18500000	102531392	2.0261	0.5104
5FU-PATIENT6-LivN-CLONE5	16	1	36835800	1.9906	0.5104
5FU-PATIENT6-LivN-CLONE5	16	36835801	90354753	1.9942	0.5128
5FU-PATIENT6-LivN-CLONE5	17	1	23763005	1.9995	0.5114
5FU-PATIENT6-LivN-CLONE5	17	23763006	81195210	2.0288	0.5130
5FU-PATIENT6-LivN-CLONE5	18	1	16960897	2.0264	0.5092
5FU-PATIENT6-LivN-CLONE5	18	16960898	78077248	2.0060	0.5102
5FU-PATIENT6-LivN-CLONE5	19	1	26181781	1.9779	0.5141
5FU-PATIENT6-LivN-CLONE5	19	26181782	59128983	1.9815	0.5173
5FU-PATIENT6-LivN-CLONE5	1	1	93393476	2.0220	0.5121
5FU-PATIENT6-LivN-CLONE5	1	93393477	93394196	1.4610	0.6752
5FU-PATIENT6-LivN-CLONE5	1	93394197	123035433	2.0151	0.5100
5FU-PATIENT6-LivN-CLONE5	1	123035434	249250621	2.0246	0.5130
5FU-PATIENT6-LivN-CLONE5	2	1	93826170	2.0077	0.5126
5FU-PATIENT6-LivN-CLONE5	2	93826171	243199373	2.0199	0.5110
5FU-PATIENT6-LivN-CLONE5	3	1	90341000	2.0101	0.5101
5FU-PATIENT6-LivN-CLONE5	3	90341001	92004853	2.6277	0.6253
5FU-PATIENT6-LivN-CLONE5	3	92004854	198022430	2.0193	0.5111
5FU-PATIENT6-LivN-CLONE5	4	1	51160116	2.0037	0.5165
5FU-PATIENT6-LivN-CLONE5	4	51160117	191154276	2.0025	0.5106
5FU-PATIENT6-LivN-CLONE5	5	1	47905640	1.9842	0.5105
5FU-PATIENT6-LivN-CLONE5	5	47905641	180915260	2.0184	0.5098
5FU-PATIENT6-LivN-CLONE5	6	1	60330165	2.0317	0.5119
5FU-PATIENT6-LivN-CLONE5	6	60330166	171115067	2.0089	0.5083
5FU-PATIENT6-LivN-CLONE5	7	1	59554330	2.0173	0.5116
5FU-PATIENT6-LivN-CLONE5	7	59554331	159138663	2.0025	0.5123
5FU-PATIENT6-LivN-CLONE5	8	1	45338886	2.0124	0.5117
5FU-PATIENT6-LivN-CLONE5	8	45338887	146364022	2.0086	0.5087
5FU-PATIENT6-LivN-CLONE5	X	1	60132011	1.9698	0.5123
5FU-PATIENT6-LivN-CLONE5	X	60132012	155270560	1.9542	0.5178
5FU-PATIENT6-LivN-CLONE5	9	1	48867678	2.0039	0.5107
5FU-PATIENT6-LivN-CLONE5	9	48867679	141213431	2.0219	0.5102
5FU-PATIENT6-LivN-CLONE5	20	1	27869568	2.0257	0.5104
5FU-PATIENT6-LivN-CLONE5	20	27869569	63025520	2.0153	0.5114
5FU-PATIENT6-LivN-CLONE5	10	1	40754934	2.0105	0.5077
5FU-PATIENT6-LivN-CLONE5	10	40754935	135534747	2.0194	0.5110
5FU-PATIENT6-LivN-CLONE5	21	1	12788128	2.0072	0.5102
5FU-PATIENT6-LivN-CLONE5	21	12788129	48129895	2.0072	0.5102
