clusterId	chainId	chainIndex	chainCount	lowerBreakendId	upperBreakendId	lowerBreakendIsStart	upperBreakendIsStart	chromosome	arm	assembled	traversedSVCount	length	ploidy	ploidyUncertainty	pseudogeneInfo
1429	0	0	2	1439	1442	true	true	11	Q	false	0	1345999	1.34	0.1668	
1436	0	0	2	1462	1464	true	true	11	Q	false	0	1198999	0.6965	0.1418	
1445	0	0	2	1481	1484	true	true	11	Q	false	0	3883999	1.24	0.1796	
1467	0	0	2	2234	2235	true	true	22	Q	false	0	1308999	1.885	0.1869	
1477	0	0	2	1523	1525	true	true	12	P	false	0	2941999	2.145	0.1741	
1481	0	0	2	1526	1527	true	true	12	P	false	0	662999	1.27	0.1478	
1490	0	0	2	1547	1550	true	true	12	P	false	0	1516999	0.925	0.1865	
1497	0	0	2	1558	1559	true	true	12	Q	false	0	607999	0.999	0.1113	
1501	0	0	2	1562	1563	true	true	12	Q	false	0	594999	1.16	0.1662	
1501	1	0	2	1561	1563	true	true	12	Q	false	0	1489999	1.1149	0.1387	
1504	0	0	2	1565	1566	true	true	12	Q	false	0	1140999	1.256	0.152	
1523	0	0	2	1622	1623	true	true	12	Q	false	0	1149999	1.92	0.1795	
1541	0	0	2	1664	1667	true	true	13	Q	false	0	2419999	2.105	0.1763	
1549	0	0	2	1684	1687	true	true	13	Q	false	0	4329999	1.062	0.1492	
1562	0	0	2	1719	1722	true	true	14	Q	false	0	3139999	1.53	0.1647	
1574	0	0	2	1753	1756	true	true	14	Q	false	0	2005999	1.38	0.1445	
1579	0	0	2	1760	1761	true	true	14	Q	false	0	267999	1.48	0.1815	
1582	0	0	2	1763	1766	true	true	14	Q	false	0	2955999	1.785	0.1571	
1590	0	0	2	1777	1778	true	true	15	Q	false	0	44999	3.465	0.3307	
1602	0	0	2	1804	1805	true	true	15	Q	false	0	2365999	1.28	0.1695	
1604	0	0	2	1807	1812	true	true	15	Q	false	0	4433999	0.7855	0.1531	
1620	0	0	2	1861	1862	true	true	16	P	false	0	974999	1.01	0.1555	
1628	0	0	2	1878	1881	true	true	16	P	false	0	1746999	2.005	0.1944	
1636	0	0	2	1891	1892	true	true	16	Q	false	0	1135999	2.23	0.1983	
1654	0	0	2	1926	1927	true	true	17	P	false	0	525999	1.47	0.1472	
1662	0	0	2	1962	1964	true	true	17	Q	false	0	1357999	1.79	0.1303	
1668	0	0	2	1979	1982	true	true	17	Q	false	0	2305999	1.0568	0.1317	
1681	0	0	2	2036	2039	true	true	18	Q	false	0	1421999	1.3	0.1961	
1699	0	0	2	2084	2086	true	true	19	P	false	0	2524257	1.23	0.2239	
1699	1	0	2	2080	2086	true	true	19	P	false	0	4337257	1.87	0.2005	
1702	0	0	2	2094	2095	true	true	19	Q	false	0	904999	1.9633	0.1393	
1706	0	0	2	2096	2097	true	true	19	Q	false	0	401999	2.14	0.1679	
1713	0	0	2	2	4	true	true	1	P	false	0	2032999	2.02	0.1937	
1717	0	0	2	5	6	true	true	1	P	false	0	1038999	1.98	0.1563	
1719	0	0	2	15	20	true	true	1	P	false	0	2912999	1.17	0.1407	
1728	0	0	2	32	33	true	true	1	P	false	0	1587999	1.595	0.1873	
1730	0	0	2	38	41	true	true	1	P	false	0	3918999	1.36	0.1893	
1734	0	0	2	44	45	true	true	1	P	false	0	821999	2.19	0.1791	
1738	0	0	2	49	53	true	true	1	P	false	0	3969999	1.65	0.1578	
1739	0	0	2	52	54	true	true	1	P	false	0	2576999	0.7785	0.141	
1747	0	0	2	78	81	true	true	1	P	false	0	1809999	1.515	0.1478	
1760	0	0	2	104	105	true	true	1	P	false	0	577999	1.39	0.2098	
1766	0	0	2	114	115	true	true	1	Q	false	0	823999	1.21	0.1953	
1767	0	0	2	116	118	true	true	1	Q	false	0	1785999	1.95	0.146	
1775	0	0	2	129	130	true	true	1	Q	false	0	753999	2.0433	0.1915	
1789	0	0	2	176	177	true	true	1	Q	false	0	847999	1.09	0.1711	
1803	0	0	2	214	216	true	true	2	P	false	0	2888999	1.73	0.1887	
1816	0	0	2	249	253	true	true	2	P	false	0	4903999	1.325	0.1517	
1820	0	0	2	255	259	true	true	2	P	false	0	3110999	1.58	0.1254	
1823	0	0	2	263	264	true	true	2	P	false	0	979999	1.43	0.1598	
1832	0	0	2	288	289	true	true	2	Q	false	0	568999	2.335	0.1929	
1833	0	0	2	290	293	true	true	2	Q	false	0	3583999	1.715	0.155	
1838	0	0	2	299	301	true	true	2	Q	false	0	2783999	1.84	0.1618	
1859	0	0	2	364	365	true	true	2	Q	false	0	1849999	1.765	0.1825	
1865	0	0	2	383	384	true	true	3	P	false	0	816999	2.03	0.1906	
1879	0	0	2	432	435	true	true	3	P	false	0	3779999	1.98	0.1688	
1894	0	0	2	487	488	true	true	3	Q	false	0	1119999	2.56	0.1866	
1904	0	0	2	533	536	true	true	3	Q	false	0	2036999	0.993	0.1665	
1912	0	0	2	544	545	true	true	4	P	false	0	1928999	0.923	0.1858	
1940	0	0	2	615	619	true	true	4	Q	false	0	2218999	1.78	0.1651	
1971	0	0	2	711	716	true	true	5	Q	false	0	2678999	0.912	0.1518	
1981	0	0	2	747	750	true	true	5	Q	false	0	1550999	1.442	0.2209	
1981	1	0	2	751	752	true	true	5	Q	false	0	818999	2.4	0.1794	
1989	0	0	2	776	777	true	true	5	Q	false	0	1732999	1.3	0.1876	
1998	0	0	2	789	796	true	true	5	Q	false	0	4065999	1.265	0.1529	
2000	0	0	2	797	802	true	true	5	Q	false	0	2884999	2.135	0.1755	
2004	0	0	2	808	809	true	true	5	Q	false	0	457999	0.996	0.185	
2004	1	0	2	803	809	true	true	5	Q	false	0	2930999	1.46	0.1621	
2011	0	0	2	836	837	true	true	6	P	false	0	565999	2.0	0.1854	
2011	1	0	2	834	835	true	true	6	P	false	0	779999	1.13	0.1466	
2011	2	0	2	834	837	true	true	6	P	false	0	1844999	0.6052	0.1664	
2015	0	0	2	847	850	true	true	6	P	false	0	1549999	1.77	0.1282	
2018	0	0	2	853	855	true	true	6	P	false	0	4114999	2.11	0.1476	
2021	0	0	2	860	863	true	true	6	P	false	0	4417999	1.24	0.1618	
2037	0	0	2	896	900	true	true	6	Q	false	0	3321999	1.8	0.1429	
2044	0	0	2	931	932	true	true	6	Q	false	0	542999	2.175	0.1855	
2051	0	0	2	943	944	true	true	7	P	false	0	1255999	1.28	0.1534	
2064	0	0	2	986	987	true	true	7	Q	false	0	83999	2.195	0.214	
2068	0	0	2	1005	1008	true	true	7	Q	false	0	4933999	1.415	0.1575	
2074	0	0	2	1018	1019	true	true	7	Q	false	0	642999	0.997	0.1782	
2080	0	0	2	1030	1031	true	true	7	Q	false	0	794999	0.765	0.1288	
2106	0	0	2	1086	1087	true	true	8	P	false	0	3966999	1.97	0.2023	
2106	1	0	2	1084	1085	true	true	8	P	false	0	2096999	1.04	0.1696	
2117	0	0	2	1105	1106	true	true	8	Q	false	0	1157999	2.35	0.1899	
2123	0	0	2	1116	1118	true	true	8	Q	false	0	2429999	2.12	0.1662	
2135	0	0	2	1136	1138	true	true	8	Q	false	0	2418999	2.125	0.1641	
2154	0	0	2	2271	2274	true	true	X	P	false	0	2974999	1.7187	0.1825	
2183	0	0	2	1189	1190	true	true	9	P	false	0	3329999	1.83	0.1996	
2192	0	0	2	1208	1209	true	true	9	P	false	0	218999	1.21	0.1773	
1528	0	0	3	1632	1952	true	true	9	Q	false	0	290	2.04	4.7613	
1528	0	1	3	1952	1957	false	true	17	Q	false	0	4503581	2.04	4.7613	
1528	1	0	2	1216	1219	true	true	9	Q	false	0	2610999	1.1289	0.1752	
1528	2	0	2	1631	1633	true	true	12	Q	false	0	2083890	2.29	0.2378	
1528	3	0	2	1632	1952	true	true	9	Q	false	0	290	34.2367	4.7613	
2217	0	0	2	1261	1264	true	true	9	Q	false	0	2191999	0.8925	0.1452	
2219	0	0	2	1267	1270	true	true	9	Q	false	0	1479999	1.095	0.1503	
2222	0	0	5	1275	1276	true	true	9	Q	false	0	252392	2.2871	0.2548	
2222	0	1	5	1274	1275	false	false	9	Q	false	0	309	2.2871	0.2548	
2222	0	2	5	1274	1272	true	true	9	Q	false	0	804	2.2871	0.2548	
2222	0	3	5	1272	1273	false	true	9	Q	false	0	651	2.2871	0.2548	
2224	0	0	2	1277	1279	true	true	9	Q	false	0	1670999	0.6355	0.1214	
2240	0	0	2	2156	2157	true	true	20	Q	false	0	416999	1.26	0.1658	
2240	1	0	2	2155	2157	true	true	20	Q	false	0	578999	1.7175	0.1369	
