SampleId	Chromosome	Start	End	CopyNumber	BAF
ste01167f	11	1	53144204	2.0218	0.5077
ste01167f	11	53144205	135006516	2.0166	0.5078
ste01167f	22	1	14499999	1.9547	0.5119
ste01167f	22	14500000	51304566	1.9547	0.5119
ste01167f	12	1	27964873	1.9987	0.5045
ste01167f	12	27964874	36356693	2.0143	0.5103
ste01167f	12	36356694	64261834	2.0120	0.5065
ste01167f	12	64261835	133851895	2.0073	0.5056
ste01167f	13	1	17499999	2.0075	0.5034
ste01167f	13	17500000	115169878	2.0075	0.5034
ste01167f	14	1	17499999	2.0071	0.5054
ste01167f	14	17500000	107349540	2.0071	0.5054
ste01167f	15	1	18499999	1.9966	0.5030
ste01167f	15	18500000	61192365	1.9966	0.5030
ste01167f	15	61192366	61192384	128.8389	0.9923
ste01167f	15	61192385	102531392	2.0025	0.5030
ste01167f	16	1	33957539	1.9624	0.5081
ste01167f	16	33957540	36835800	2.0378	0.5244
ste01167f	16	36835801	73473845	1.9951	0.5046
ste01167f	16	73473846	90354753	1.9771	0.5054
ste01167f	17	1	23763005	1.9509	0.5135
ste01167f	17	23763006	31149477	1.9628	0.5101
ste01167f	17	31149478	31149860	1.9153	0.5016
ste01167f	17	31149861	81195210	1.9664	0.5114
ste01167f	18	1	16960897	1.9899	0.5026
ste01167f	18	16960898	78077248	2.0108	0.5046
ste01167f	19	1	26181781	1.8949	0.5265
ste01167f	19	26181782	59128983	1.9318	0.5189
ste01167f	1	1	123035433	2.0085	0.5070
ste01167f	1	123035434	249250621	2.0155	0.5070
ste01167f	2	1	93826170	2.0131	0.5065
ste01167f	2	93826171	133013176	2.0150	0.5038
ste01167f	2	133013177	133025157	1.8969	0.5268
ste01167f	2	133025158	230341651	2.0213	0.5057
ste01167f	2	230341652	230341670	77.1223	0.9870
ste01167f	2	230341671	243199373	1.9959	0.5072
ste01167f	3	1	92004853	2.0145	0.5048
ste01167f	3	92004854	198022430	2.0202	0.5075
ste01167f	4	1	51160116	2.0125	0.5060
ste01167f	4	51160117	64715020	2.0171	0.5044
ste01167f	4	64715021	181593870	2.0182	0.5047
ste01167f	4	181593871	189615857	1.9938	0.5014
ste01167f	4	189615858	191154276	2.0039	0.5058
ste01167f	5	1	47905640	2.0159	0.5048
ste01167f	5	47905641	93871198	2.0208	0.5063
ste01167f	5	93871199	180915260	2.0223	0.5073
ste01167f	6	1	60330165	2.0090	0.5061
ste01167f	6	60330166	171115067	2.0202	0.5059
ste01167f	7	1	59554330	2.0078	0.5085
ste01167f	7	59554331	80962937	1.9761	0.5116
ste01167f	7	80962938	159138663	2.0115	0.5054
ste01167f	8	1	45338886	2.0055	0.5023
ste01167f	8	45338887	146364022	2.0208	0.5065
ste01167f	X	1	2990029	0.9818	1.0000
ste01167f	X	2990030	2990053	83.8399	1.0000
ste01167f	X	2990054	60132011	1.0077	1.0000
ste01167f	X	60132012	155270560	1.0105	1.0000
ste01167f	9	1	48867678	2.0119	0.5037
ste01167f	9	48867679	108582184	2.0106	0.5029
ste01167f	9	108582185	108582208	15.8236	0.9368
ste01167f	9	108582209	141213431	1.9938	0.5091
ste01167f	Y	1	10035449	1.0212	1.0000
ste01167f	Y	10035450	11604552	2.6988	1.0000
ste01167f	Y	11604553	13704387	1.0143	1.0000
ste01167f	Y	13704388	13801064	0.9889	1.0000
ste01167f	Y	13801065	59373566	1.0059	1.0000
ste01167f	20	1	27869568	2.0156	0.5059
ste01167f	20	27869569	63025520	1.9918	0.5057
ste01167f	10	1	40754934	1.9875	0.5029
ste01167f	10	40754935	65253038	2.0248	0.5057
ste01167f	10	65253039	130379940	2.0172	0.5073
ste01167f	10	130379941	135534747	2.0133	0.5033
ste01167f	21	1	9825570	1.9931	0.5038
ste01167f	21	9825571	9825757	1.9931	0.5038
ste01167f	21	9825758	9825993	1.9931	0.5038
ste01167f	21	9825994	9826226	1.9931	0.5038
ste01167f	21	9826227	9826436	1.9931	0.5038
ste01167f	21	9826437	9826854	1.9931	0.5038
ste01167f	21	9826855	9827561	1.9931	0.5038
ste01167f	21	9827562	9827576	1.9931	0.5038
ste01167f	21	9827577	9827579	1.9931	0.5038
ste01167f	21	9827580	12788128	1.9931	0.5038
ste01167f	21	12788129	48129895	1.9931	0.5038
