svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
0	1711	LOH_1	false	false	false	None	None	0.9510	1.6490	MRPL20;RP4-758J18.13	MRPL20;RP4-758J18.13	0.7765	0.0000	0	-1	ISOLATED_BE		0	0
1	1711	LOH_0	false	false	false	None	None	1.5091	2.3309	C1orf222	C1orf222	0.7548	0.0000	1	-1	ISOLATED_BE		0	0
2	1713	MajorAP_4	false	false	false	None	None	1.3721	2.5679			0.4985	0.0000	0	-1	ISOLATED_BE		0	0
3	1714		false	false	false	None	None	0.4017	1.6383	RP11-154H17.1	RP11-154H17.1	0.3426	0.0000	0	-1	ISOLATED_BE		0	0
4	1713	MajorAP_2	false	false	false	None	None	1.5616	2.5784	KCNAB2	KCNAB2	0.7317	0.0000	1	-1	ISOLATED_BE		0	0
5	1717	MajorAP_6	false	false	false	None	None	1.0603	1.9397	CAMTA1;RP11-312B8.2	CAMTA1;RP11-312B8.2	0.6260	0.0000	0	-1	ISOLATED_BE		0	0
6	1717	MajorAP_5	false	false	false	None	None	2.0156	2.9044			0.6617	0.0000	1	-1	ISOLATED_BE		0	0
7	1718		false	false	false	None	None	0.3942	0.8998	SLC45A1	SLC45A1	0.7155	0.0000	0	-1	ISOLATED_BE		0	0
8	289		false	false	false	None	None	1.4969	2.4431			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
9	577		false	false	false	None	None	1.1569	2.1031			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
10	1258		false	false	false	None	None	1.0355	1.9045	AADACL4	AADACL4	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
11	1043		false	false	false	None	None	0.5955	1.4845	KAZN	KAZN	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
12	27		false	false	false	None	None	0.7671	1.4329	FHAD1;RP3-467K16.2	FHAD1;RP3-467K16.2	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
13	588		false	false	false	None	None	0.5462	1.1578	RNU1-1	RNU1-1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
14	1719	LOH_15	false	false	false	None	None	1.3844	2.0356	RCC2	RCC2	0.7818	0.0000	0	-1	ISOLATED_BE		0	0
15	1719	LOH_14;MajorAP_20	false	false	false	None	None	2.0141	2.8259	ARHGEF10L	ARHGEF10L	0.7801	0.0000	1	-1	ISOLATED_BE		0	0
16	555		false	false	false	None	None	0.6437	1.6963	RP11-473A10.2	RP11-473A10.2	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
17	1263		false	false	false	None	None	0.6395	1.6405			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
18	1277		false	false	false	None	None	0.6604	1.4196	UBR4	UBR4	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
19	923		false	false	false	None	None	0.7197	1.5003	OTUD3	OTUD3	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
20	1719	MajorAP_15	false	false	false	None	None	0.7797	1.5603			0.6552	0.0000	2	-1	ISOLATED_BE		0	0
21	1722		false	false	false	None	None	0.6268	1.1732	USP48	USP48	0.7494	0.0000	0	-1	ISOLATED_BE		0	0
22	1723		false	false	false	None	None	1.7248	2.5352	CDC42	CDC42	0.7619	0.0000	0	-1	ISOLATED_BE		0	0
23	1724		false	false	false	None	None	0.9564	1.7436			0.7235	0.0000	0	-1	ISOLATED_BE		0	0
24	1725		false	false	false	None	None	0.4380	0.9520	MDS2	MDS2	0.7814	0.0000	0	-1	ISOLATED_BE		0	0
25	390		false	false	false	None	None	1.1855	1.8745	RP11-293P20.2	RP11-293P20.2	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
26	439		false	false	false	None	None	0.8531	1.5469	RCAN3	RCAN3	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
27	292		false	false	false	None	None	0.7372	1.4028			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
28	710		false	false	false	None	None	0.5686	1.2114			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
29	711		false	false	false	None	None	1.0828	1.5572			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
30	979		false	false	false	None	None	1.0375	1.5025	YTHDF2	YTHDF2	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
31	1726		false	false	false	None	None	0.9313	1.7487	PTPRU	PTPRU	0.7117	0.0000	0	-1	ISOLATED_BE		0	0
32	1728	MajorAP_33	false	false	false	None	None	0.6595	1.7605	PTPRU	PTPRU	0.6281	0.0000	0	-1	ISOLATED_BE		0	0
33	1728	MajorAP_32	false	false	false	None	None	1.4686	2.4914	LAPTM5	LAPTM5	0.6515	0.0000	1	-1	ISOLATED_BE		0	0
34	444		false	false	false	None	None	1.6577	2.2623	PUM1	PUM1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
35	1368		false	false	false	None	None	2.0313	2.7287	NKAIN1	NKAIN1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
36	1250		false	false	false	None	None	0.9983	1.6617	SPOCD1	SPOCD1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
37	1339		false	false	false	None	None	1.3545	2.1055	RP1-117O3.2	RP1-117O3.2	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
