svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
5	6	Prox_6	false	false	false	None	None	2.4558	8.1532	ATP13A3;LINC00884;AC108676.1	ATP13A3;LINC00884;AC108676.1	0.7648	0.0000	0	-1	ISOLATED_BE		1	0
6	6	Prox_5	false	false	false	None	None	-1.0541	7.6759	ATP13A3;LINC00884;AC108676.1	ATP13A3;LINC00884;AC108676.1	0.7648	0.0000	0	-1	ISOLATED_BE		1	0
7	6	Prox_6	false	false	false	None	None	6.6274	18.1548	LINC00884;AC108676.1	LINC00884;AC108676.1	0.7648	0.0000	0	-1	ISOLATED_BE		1	0
8	2		false	false	false	None	None	0.7238	1.3962			0.0000	0.0000	0	-1	ISOLATED_BE		0	0
9	0		false	false	false	None	None	0.7238	1.3962	BOD1L1	BOD1L1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
11	7		false	false	false	None	None	-0.1467	0.2318	IQGAP2	IQGAP2	0.4275	0.4660	0	1	ISOLATED_BE	ISOLATED_BE	0	0
12	8	Prox_13	false	false	false	None	None	3.2167	9.9624	AC091969.1	AC091969.1	0.0834	0.0000	0	-1	TI_ONLY		1	0
13	8	Prox_12	false	false	false	None	None	2.3563	8.9477	AC091969.1	AC091969.1	0.0834	0.0000	0	-1	TI_ONLY		1	0
16	9	Prox_17	false	false	false	None	None	13.5147	32.6027			0.3653	0.0000	0	-1	DSB		0	0
17	9	Prox_16	false	false	false	None	None	13.2416	32.3292			0.3653	0.0000	0	-1	DSB		0	0
20	10	Prox_21	false	false	false	None	None	1.4397	6.0757			0.6770	0.0000	0	-1	DSB		0	0
21	10	Prox_20	false	false	false	None	None	0.4250	7.0150			0.6770	0.0000	0	-1	DSB		0	0
23	5		false	false	false	None	None	0.3192	0.7902			0.1857	0.0000	0	-1	ISOLATED_BE		0	0
26	4		false	false	false	None	None	0.0000	0.5120			0.2488	0.6215	0	1	ISOLATED_BE	ISOLATED_BE	0	0
29	3		false	false	false	None	None	-0.1640	0.2016	TET2	TET2	0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
31	1		false	false	false	None	None	-0.1575	0.2271			0.0000	0.0000	0	1	ISOLATED_BE	ISOLATED_BE	0	0
