SampleId	Chromosome	Start	End	CopyNumber	BAF
C30913DClone13	11	1	53144204	2.0055	0.5107
C30913DClone13	11	53144205	135006516	1.9940	0.5138
C30913DClone13	22	1	14499999	1.9467	0.5198
C30913DClone13	22	14500000	51304566	1.9467	0.5198
C30913DClone13	12	1	36356693	1.9943	0.5161
C30913DClone13	12	36356694	120729549	2.0068	0.5120
C30913DClone13	12	120729550	120729587	1.0332	0.9477
C30913DClone13	12	120729588	133851895	1.9274	0.5201
C30913DClone13	13	1	17499999	1.9991	0.5075
C30913DClone13	13	17500000	115169878	1.9991	0.5075
C30913DClone13	14	1	17499999	1.9926	0.5094
C30913DClone13	14	17500000	107349540	1.9926	0.5094
C30913DClone13	15	1	18499999	1.9558	0.5124
C30913DClone13	15	18500000	30175216	1.9558	0.5124
C30913DClone13	15	30175217	30208217	2.6399	0.6109
C30913DClone13	15	30208218	102531392	1.9888	0.5108
C30913DClone13	16	1	36835800	1.9317	0.5345
C30913DClone13	16	36835801	90354753	1.9535	0.5227
C30913DClone13	17	1	23763005	1.9341	0.5278
C30913DClone13	17	23763006	81195210	1.9570	0.5222
C30913DClone13	18	1	16960897	1.9897	0.5139
C30913DClone13	18	16960898	78077248	1.9931	0.5088
C30913DClone13	19	1	26181781	1.8709	0.5391
C30913DClone13	19	26181782	59128983	1.9048	0.5357
C30913DClone13	1	1	24486958	1.9592	0.5494
C30913DClone13	1	24486959	24690785	2.6167	0.6297
C30913DClone13	1	24690786	123035433	2.0053	0.5095
C30913DClone13	1	123035434	249250621	2.0036	0.5130
C30913DClone13	2	1	93826170	1.9867	0.5103
C30913DClone13	2	93826171	243199373	2.0026	0.5072
C30913DClone13	3	1	92004853	1.9938	0.5093
C30913DClone13	3	92004854	198022430	2.0108	0.5115
C30913DClone13	4	1	51160116	1.9959	0.5079
C30913DClone13	4	51160117	191154276	2.0082	0.5097
C30913DClone13	5	1	47905640	1.9837	0.5111
C30913DClone13	5	47905641	180915260	2.0043	0.5117
C30913DClone13	6	1	60330165	1.9924	0.5096
C30913DClone13	6	60330166	171115067	2.0050	0.5080
C30913DClone13	7	1	59554330	1.9911	0.5110
C30913DClone13	7	59554331	159138663	1.9857	0.5158
C30913DClone13	8	1	45338886	1.9739	0.5130
C30913DClone13	8	45338887	146364022	1.9995	0.5085
C30913DClone13	X	1	60132011	1.0030	1.0000
C30913DClone13	X	60132012	155270560	1.0031	1.0000
C30913DClone13	9	1	48867678	2.0038	0.5081
C30913DClone13	9	48867679	141213431	1.9845	0.5099
C30913DClone13	Y	1	11604552	1.0049	1.0000
C30913DClone13	Y	11604553	59373566	0.9909	1.0000
C30913DClone13	20	1	27869568	1.9949	0.5073
C30913DClone13	20	27869569	63025520	1.9590	0.5103
C30913DClone13	10	1	40754934	1.9748	0.5116
C30913DClone13	10	40754935	135534747	1.9915	0.5130
C30913DClone13	21	1	12788128	1.9770	0.5152
C30913DClone13	21	12788129	48129895	1.9770	0.5152
