SampleId	Chromosome	Start	End	CopyNumber	BAF
5FU-PATIENT10-LIVN-CLONE1	11	1	53144204	1.9960	0.5056
5FU-PATIENT10-LIVN-CLONE1	11	53144205	135006516	1.9917	0.5045
5FU-PATIENT10-LIVN-CLONE1	22	1	14499999	1.9606	0.5104
5FU-PATIENT10-LIVN-CLONE1	22	14500000	51304566	1.9606	0.5104
5FU-PATIENT10-LIVN-CLONE1	12	1	36356693	2.0002	0.5034
5FU-PATIENT10-LIVN-CLONE1	12	36356694	133851895	1.9941	0.5058
5FU-PATIENT10-LIVN-CLONE1	13	1	17499999	1.9963	0.5029
5FU-PATIENT10-LIVN-CLONE1	13	17500000	115169878	1.9963	0.5029
5FU-PATIENT10-LIVN-CLONE1	14	1	17499999	1.9917	0.5035
5FU-PATIENT10-LIVN-CLONE1	14	17500000	107349540	1.9917	0.5035
5FU-PATIENT10-LIVN-CLONE1	15	1	18499999	1.9925	0.5040
5FU-PATIENT10-LIVN-CLONE1	15	18500000	102531392	1.9925	0.5040
5FU-PATIENT10-LIVN-CLONE1	16	1	36835800	1.9635	0.5102
5FU-PATIENT10-LIVN-CLONE1	16	36835801	90354753	1.9794	0.5053
5FU-PATIENT10-LIVN-CLONE1	17	1	23763005	1.9531	0.5114
5FU-PATIENT10-LIVN-CLONE1	17	23763006	81195210	1.9656	0.5090
5FU-PATIENT10-LIVN-CLONE1	18	1	16960897	1.9970	0.5024
5FU-PATIENT10-LIVN-CLONE1	18	16960898	78077248	1.9968	0.5025
5FU-PATIENT10-LIVN-CLONE1	19	1	26181781	1.9051	0.5295
5FU-PATIENT10-LIVN-CLONE1	19	26181782	59128983	1.9277	0.5175
5FU-PATIENT10-LIVN-CLONE1	1	1	123035433	1.9848	0.5051
5FU-PATIENT10-LIVN-CLONE1	1	123035434	249250621	1.9916	0.5054
5FU-PATIENT10-LIVN-CLONE1	2	1	93826170	1.9956	0.5038
5FU-PATIENT10-LIVN-CLONE1	2	93826171	172404493	2.0043	0.5043
5FU-PATIENT10-LIVN-CLONE1	2	172404494	172404626	2.7448	0.6381
5FU-PATIENT10-LIVN-CLONE1	2	172404627	243199373	1.9996	0.5050
5FU-PATIENT10-LIVN-CLONE1	3	1	90341000	1.9948	0.5040
5FU-PATIENT10-LIVN-CLONE1	3	90341001	92004853	2.7997	0.6466
5FU-PATIENT10-LIVN-CLONE1	3	92004854	198022430	2.0019	0.5031
5FU-PATIENT10-LIVN-CLONE1	4	1	51160116	1.9933	0.5045
5FU-PATIENT10-LIVN-CLONE1	4	51160117	85020669	2.0019	0.5054
5FU-PATIENT10-LIVN-CLONE1	4	85020670	85020757	1.0410	0.9521
5FU-PATIENT10-LIVN-CLONE1	4	85020758	190467081	1.9967	0.5036
5FU-PATIENT10-LIVN-CLONE1	4	190467082	190467164	1.1375	0.8714
5FU-PATIENT10-LIVN-CLONE1	4	190467165	191154276	2.0003	0.5004
5FU-PATIENT10-LIVN-CLONE1	5	1	47905640	1.9935	0.5042
5FU-PATIENT10-LIVN-CLONE1	5	47905641	127540374	2.0053	0.5035
5FU-PATIENT10-LIVN-CLONE1	5	127540375	127540412	1.2848	0.7750
5FU-PATIENT10-LIVN-CLONE1	5	127540413	180915260	1.9922	0.5048
5FU-PATIENT10-LIVN-CLONE1	6	1	50338787	1.9738	0.5074
5FU-PATIENT10-LIVN-CLONE1	6	50338788	50338879	0.9715	1.0000
5FU-PATIENT10-LIVN-CLONE1	6	50338880	60330165	1.9939	0.5039
5FU-PATIENT10-LIVN-CLONE1	6	60330166	171115067	1.9821	0.5048
5FU-PATIENT10-LIVN-CLONE1	7	1	59554330	1.9976	0.5043
5FU-PATIENT10-LIVN-CLONE1	7	59554331	159138663	1.9887	0.5071
5FU-PATIENT10-LIVN-CLONE1	8	1	45338886	1.9918	0.5028
5FU-PATIENT10-LIVN-CLONE1	8	45338887	146364022	1.9983	0.5029
5FU-PATIENT10-LIVN-CLONE1	X	1	60132011	0.9992	1.0000
5FU-PATIENT10-LIVN-CLONE1	X	60132012	155270560	0.9988	1.0000
5FU-PATIENT10-LIVN-CLONE1	9	1	48867678	1.9952	0.5055
5FU-PATIENT10-LIVN-CLONE1	9	48867679	141213431	1.9853	0.5050
5FU-PATIENT10-LIVN-CLONE1	Y	1	11604552	-0.0188	1.0000
5FU-PATIENT10-LIVN-CLONE1	Y	11604553	59373566	-0.0179	1.0000
5FU-PATIENT10-LIVN-CLONE1	20	1	27869568	2.0039	0.5054
5FU-PATIENT10-LIVN-CLONE1	20	27869569	63025520	1.9767	0.5055
5FU-PATIENT10-LIVN-CLONE1	10	1	40754934	1.9923	0.5044
5FU-PATIENT10-LIVN-CLONE1	10	40754935	135534747	1.9958	0.5031
5FU-PATIENT10-LIVN-CLONE1	21	1	12788128	1.9896	0.5067
5FU-PATIENT10-LIVN-CLONE1	21	12788129	48129895	1.9896	0.5067
