SampleId	Chromosome	Start	End	CopyNumber	BAF
c180516DCLONE6	11	1	53144204	2.0030	0.5030
c180516DCLONE6	11	53144205	135006516	2.0011	0.5030
c180516DCLONE6	22	1	14499999	1.9816	0.5070
c180516DCLONE6	22	14500000	51304566	1.9816	0.5070
c180516DCLONE6	12	1	36356693	2.0003	0.5035
c180516DCLONE6	12	36356694	133851895	1.9968	0.5030
c180516DCLONE6	13	1	17499999	1.9824	0.5049
c180516DCLONE6	13	17500000	22112435	1.9824	0.5049
c180516DCLONE6	13	22112436	22131216	0.9997	1.0000
c180516DCLONE6	13	22131217	115169878	2.0050	0.5021
c180516DCLONE6	14	1	17499999	1.9972	0.5016
c180516DCLONE6	14	17500000	107349540	1.9972	0.5016
c180516DCLONE6	15	1	18499999	1.9948	0.5025
c180516DCLONE6	15	18500000	102531392	1.9948	0.5025
c180516DCLONE6	16	1	19462757	1.9767	0.5056
c180516DCLONE6	16	19462758	19462951	1.2490	0.7825
c180516DCLONE6	16	19462952	36835800	1.9760	0.5112
c180516DCLONE6	16	36835801	57744143	2.0024	0.5029
c180516DCLONE6	16	57744144	57744502	2.9891	0.6688
c180516DCLONE6	16	57744503	90354753	1.9869	0.5017
c180516DCLONE6	17	1	23763005	1.9674	0.5087
c180516DCLONE6	17	23763006	62299174	1.9699	0.5100
c180516DCLONE6	17	62299175	62299218	1.1334	0.8517
c180516DCLONE6	17	62299219	81195210	1.9651	0.5085
c180516DCLONE6	18	1	16960897	2.0080	0.5020
c180516DCLONE6	18	16960898	78077248	2.0062	0.5024
c180516DCLONE6	19	1	26181781	1.9216	0.5212
c180516DCLONE6	19	26181782	59128983	1.9502	0.5123
c180516DCLONE6	1	1	110073378	1.9941	0.5038
c180516DCLONE6	1	110073379	110073427	0.9390	1.0000
c180516DCLONE6	1	110073428	123035433	2.0093	0.5029
c180516DCLONE6	1	123035434	249250621	1.9998	0.5014
c180516DCLONE6	2	1	93826170	2.0028	0.5042
c180516DCLONE6	2	93826171	243199373	2.0042	0.5023
c180516DCLONE6	3	1	92004853	2.0025	0.5022
c180516DCLONE6	3	92004854	198022430	2.0021	0.5020
c180516DCLONE6	4	1	51160116	2.0019	0.5035
c180516DCLONE6	4	51160117	141073486	2.0047	0.5016
c180516DCLONE6	4	141073487	141073518	1.3205	0.7566
c180516DCLONE6	4	141073519	191154276	2.0056	0.5016
c180516DCLONE6	5	1	47905640	2.0077	0.5094
c180516DCLONE6	5	47905641	180915260	2.0035	0.5017
c180516DCLONE6	6	1	60330165	1.9954	0.5031
c180516DCLONE6	6	60330166	171115067	2.0027	0.5016
c180516DCLONE6	7	1	59554330	1.9999	0.5021
c180516DCLONE6	7	59554331	159138663	1.9926	0.5038
c180516DCLONE6	8	1	45338886	1.9984	0.5021
c180516DCLONE6	8	45338887	146364022	2.0070	0.5024
c180516DCLONE6	X	1	60132011	1.9994	0.5024
c180516DCLONE6	X	60132012	155270560	2.0054	0.5020
c180516DCLONE6	9	1	48867678	2.0040	0.5030
c180516DCLONE6	9	48867679	141213431	1.9955	0.5012
c180516DCLONE6	20	1	27869568	2.0100	0.5040
c180516DCLONE6	20	27869569	63025520	1.9898	0.5048
c180516DCLONE6	10	1	40754934	1.9900	0.5052
c180516DCLONE6	10	40754935	135534747	2.0040	0.5034
c180516DCLONE6	21	1	12788128	1.9981	0.5019
c180516DCLONE6	21	12788129	48129895	1.9981	0.5019
