SampleId	ClusterId	ChainId	SvId	Type	ResolvedType	IsSynthetic	ChrStart	ChrEnd	PosStart	PosEnd	OrientStart	OrientEnd	InfoStart	InfoEnd	Ploidy
LiverC150216DHealthyPOA	5	1	3	SGL	SGL_PAIR_INS	false	1	-1	194553494	0	-1	0	NORMAL		7.3474
LiverC150216DHealthyPOA	5	2	4	SGL	SGL_PAIR_INS	false	1	-1	194553516	0	1	0	NORMAL		7.7198
LiverC150216DHealthyPOA	6	1	5	DEL	DEL	false	1	1	205899001	205899037	1	-1	NORMAL	NORMAL	1.1188
LiverC150216DHealthyPOA	7	0	14	SGL	SGL_PAIR_DUP	false	4	-1	21236035	0	-1	0	NORMAL		2.0516
LiverC150216DHealthyPOA	7	0	15	SGL	SGL_PAIR_DUP	false	4	-1	21236081	0	1	0	NORMAL		2.1064
LiverC150216DHealthyPOA	3	1	21	BND	LOW_VAF	false	1	6	27191665	35312509	-1	1	NORMAL	NORMAL	0.0440
LiverC150216DHealthyPOA	0	1	24	SGL	LOW_VAF	false	7	-1	141741998	0	1	0	NORMAL		0.1296
LiverC150216DHealthyPOA	9	1	26	SGL	SGL_PAIR_INS	false	8	-1	26790427	0	-1	0	NORMAL		4.0649
LiverC150216DHealthyPOA	9	2	27	SGL	SGL_PAIR_INS	false	8	-1	26790449	0	1	0	NORMAL		3.8260
LiverC150216DHealthyPOA	2	1	30	SGL	LOW_VAF	false	10	-1	38813362	0	1	0	NORMAL		0.2420
LiverC150216DHealthyPOA	1	1	33	BND	LOW_VAF	false	2	12	133033724	72581266	1	-1	NORMAL	NORMAL	0.0707
LiverC150216DHealthyPOA	8	2	39	SGL	SGL_PAIR_INS	false	16	-1	20517765	0	1	0	NORMAL		1.7172
LiverC150216DHealthyPOA	8	1	40	INF	SGL_PAIR_INS	false	16	-1	20517765	0	-1	0	NORMAL		1.7100
LiverC150216DHealthyPOA	4	1	44	BND	LOW_VAF	false	17	18	31149419	77773065	-1	1	NORMAL	NORMAL	0.0532
LiverC150216DHealthyPOA	10	1	48	SGL	SGL	false	21	-1	10823672	0	1	0	NORMAL		0.4001
